33839,Contract Systems Analyst (Bid Ref 54288-1),1,1,Application Development,Contract,23 Apr 2025,02 Jun 2025 to 30 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Wong Chuk Hang,N/A - N/A,"""(T26) System implementation of Trade Single Window""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CEDB; ;1. To monitor the outsourced contractor(s) to perform system design and implementation of web based application on cloud platform ;2. To conduct quality assurance of project deliverables prepared by outsourced contractor(s) ;3. To carry out other duties as assigned by the supervisor ;""",4.0,1.0,"""The candidate should possess: ;- solid implementation experience in Java web-based application development using Java Application Frameworks such as Spring Framework and Hibernate ;- sound technical knowledge on Ajax, JavaScript, CSS and HTML; and Knowledge on React is desirable ;- sound technical knowledge on RDBMS technology ;- working experience with/in HKSARG ;Experience in the following areas is an advantage: ;- solid experience in development on cloud platform is highly desirable ;- experience in monitoring outsourced contractor in system development is desirable ;- hands-on experience in Microservice architecture is desirable ;- hands-on experience in Agile methodology is desirable ;The candidate should also: ;- be a team-player with good communication and interpersonal skills ;- have strong sense of analytical and problem solving skills ;- be hard-working and self-motivated with positive attitude ;Technical Skills: ;. At least 4 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 4 years' experience in JavaScript Programming (JAP); ;. At least 4 years' experience in Structured Query Language (SQL). ;Non-technical Skills: ;. At least 1 year's experience in work with the Government (GOV); ;. 1 year's experience in IT service/outsourcing management (OUT) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,07 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33839"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,JAF,JAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33953,Contract Systems Analyst (Bid Ref 54360-1),1,1,Others,Contract,06 May 2025,02 Jul 2025 to 27 Feb 2026 (7 months),under InfoTech,Government T26 Contract,"Tseung Kwan O, Wanchai and occasionally provide support at Immigration sites.",N/A - N/A,"""(T26) Application support and enhancement on the Computer Output Management System (COMS-2) and Operations Intelligence System (OPIS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ImmD; ;To carry out various enhancement and subsequent 7x24 on-call support on COMS-2 and OPIS which include: ;(a) provide technical support and problem diagnosis for the COMS-2 and OPIS; ;(b) provide production maintenance support of system infrastructure and application; ;(c) provide IT advice and evaluate technical solutions and perform analysis for the enhancement support; ;(d) provide IT advice and monitor performance of contractors on maintenance of COMS-2 and OPIS; ;(e) provide enhancement support of OPIS system for new statistical reports compilation; ;(f) provide support on storage upgrade for existing COMS-2 and tidying up of COMS-2 equipment areas in Wan Chai after relocation exercise; ;(g) perform study for the next generation of COMS-2; ;(h) execute and assure the proper change management; and ;(i) other duties assigned by supervisor. ;""",4.0,1.0,"""The candidate shall possess the following essential technical skills: ;(a) solid experience in administrating various operation system including Linux and Windows; ;(b) hands-on experience in configuring various IBM Tivoli components including TEC, ITM, Netview, TSM, and other system components such as Hyper-V, Nagios and Veeam; ;(c) solid experience in supporting the application for content and reporting management; and ;(d) good communication skills and vendor management skills. ; ;Criminal record check will be required. ;Technical Skills: ;. At least 2 years' experience in IT Security (ITS); ;. At least 2 years' experience in Linux System Administration (LIN); ;. At least 2 years' experience in Storage Area Network (SAN); ;. At least 2 years' experience in Windows Server 2008/2012 (W12). ;Non-technical Skill: ;. Good coordination skills is a must. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33953"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33945,Contract Systems Analyst (Bid Ref 54335-1),1,1,Others,Contract,02 May 2025,09 Jun 2025 to 30 Sep 2025 (3 months),under InfoTech,Government T26 Contract,Hong Kong Island,N/A - N/A,"""(T26) Provide technical support and helpdesk services for the """"IT Innovation Lab in Schools"""" Programme. Needs to communicate and collaborate with the school community.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The main job duties are as follows: ;- Answer both technical and general queries from schools, provide helpdesk support and professional advices to schools to assist them in organising and conducting IT-related extra-curricular activities (ECAs), such as activity design, procurement of hardware, software, cloud services and training courses, etc. ;- Coordinate with schools and provide assistance to them in submitting funding applications (including the pre-application vetting), annual reports and financial reports. ;- Coordinate inter-schools ECAs, conduct school surveys, support promotion activities, and pay visits to schools if necessary. ;- Conduct research/study and evaluate hardware/software/professional services related to the organisation of IT-related ECAs in schools. ;- Work with other technical support teams to maintain the web content of the thematic portal and various e-Forms. ;- Any other duties assigned by the supervisors. ;- In addition, he/she may be required to work in non-office hours on need basis. ;""",4.0,1.0,"""- Sound experience in providing customer supports, helpdesk supports and consultancy services. ;- Experience in handling of funding application of government funding scheme is preferable. ;- Experience in providing operation supports to systems which are using government e-Forms and integrated with the government authentication and signing system is preferable. ;- Rich knowledge of information technology (including cyber security). ;- Good knowledge of emerging technologies (such as artificial intelligence, cloud services, big data, Internet of Things, augmented reality, virtual reality, robotics building/coding, etc.) is preferable. ;- Experience in website content management and updating, and development of e-Forms, is preferable. ;- Experience in organising events (such as exhibitions, seminars, etc.) and providing event supports is preferable. ;- Good command of written and spoken Chinese and English. ;- Good communication and interpersonal skills. ;Technical Skills: ;. At least 1 year's experience in Web Hosting, Design and Maintenance (WED); ;. 1 year's experience in IT Application Development and Management (ADM) is an advantage; ;. 1 year's experience in Electronic Form (EFM) is an advantage; ;. 1 year's experience in System Implementation and Maintenance/Support (SIM) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in customer service (CLS); ;. At least 1 year's experience in customer relations (ECR); ;. At least 1 year's experience in helpdesk call handling (HDT); ;. Good spoken English is a must; ;. Good written English is a must; ;. 1 year's experience in IT advisory and promotion, e.g. exhibition, publication (APR) is an advantage; ;. 1 year's experience in managing Government projects (MGP) is an advantage; ;. 1 year's experience in IT in the community e.g. promote the use of IT/IT awareness (ITC) is an advantage; ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33945"")",,ADM,APR,,,,,,,,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,ECR,EFM,,,,,,,,GOV,,,,,,HDT,,,,,,,,,,,,,,ITC,,,,,,,,,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,WED,,,,,,,,,,,,,,,
33841,Contract Systems Analyst (Bid Ref 54290-1),1,1,Application Development,Contract,23 Apr 2025,02 Jun 2025 to 30 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Wong Chuk Hang,N/A - N/A,"""(T26) System implementation of Trade Single Window""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CEDB; ;1. To provide support for the implementation of Trade Single Window; ;2. To conduct and provide support for system testing and user acceptance tests; ;3. To conduct quality assurance on contractor's deliverables; ;4. To provide support for Privacy Impact Assessment and Security Risk Assessment and Audit; ;5. To monitor the performance of outsourced contractor(s); ;6. To carry out other duties as assigned by the supervisor. ;""",4.0,1.0,"""The candidate should possess: ;- solid experience in system implementation; ;- sound technical knowledge on data conversion and migration and system testing including system integration test, load test, resilience test and disaster recovery test; ;- sound knowledge on IT security. ;Experience in the following areas is an advantage: ;- solid experience in monitoring outsourced contractor(s); ;- hands-on experience in cloud environment. ;The candidate should also: ;- be a team-player with good communication and interpersonal skills; ;- have strong sense of analytical and problem solving skills; ;- be hard-working and self-motivated with positive attitude. ;Service period will be extended if the performance of the staff is satisfactory. ;Technical Skills: ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 2 years' experience in IT Security (ITS); ;. At least 1 year's experience in Server Virtualisation Technology (SVT). ;Non-technical Skills: ;. At least 1 year's experience in work with the Government (GOV); ;. At least 1 year's experience in IT service/outsourcing management (OUT). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,07 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33841"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33873,Contract Systems Analyst (Bid Ref 54273-1),1,1,Others,Contract,23 Apr 2025,30 May 2025 to 29 Jun 2026 (13 months),under InfoTech,Government T26 Contract,Cheung Sha Wan,N/A - N/A,"""(T26) Application administration and support for a web-based application, Registration and Access Control System (RACS) for data centres""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;1. To perform on-going system administration and support on the system of RACS, including but not limited to Linux server, Windows server, SAN storage system and server virtualisation; ;2. To plan, coordinate and implement a project to migrate the virtualisation software from VMWare to alternative hypervisor; ;3. To support authentication server, networking monitoring server and mail server; ;4. To support the endpoint security for RACS device, e.g. workstation, tablet; ;5. To support patching management for RACS infrastructure, e.g. Linux server, Windows server, network appliance; ;6. To provide 7x24 on-call support and is required to perform support in data centres, and user offices; and ;7. To perform the tasks assigned by line manager. ;""",4.0,1.0,"""The candidate must possess solid hand-on experience in system administration and support on server, virtualisation technologies and storage system, as well as endpoint security and patch management. ; ;Criminal record verification by the Hong Kong Police Force is required. ;Technical Skills: ;. At least 2 years' experience in Endpoint Security Solutions (ESS); ;. At least 2 years' experience in Linux System Administration (LIN); ;. At least 2 years' experience in Storage Area Network (SAN); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. At least 2 years' experience in Windows Server 2008/2012 (W12). ;Non-technical Skills: ;. 1 year's experience in managing Government projects (MGP) is an advantage; ;. 1 year's experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33873"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIN,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,SVT,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,
33867,Contract Systems Analyst (Bid Ref 54152-1),1,1,Others,Contract,23 Apr 2025,02 Jun 2025 to 31 Mar 2026 (9 months),under InfoTech,Government T26 Contract,Wong Chuk Hang and work outdoors at smart lamppost sites when necessary,N/A - N/A,"""(T26) This is a position to provide services for operation and maintenance multi-functional smart lampposts programme and implement relevant projects.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;i) To provide support on installation of smart lampposts as well as smart devices and applications; ;ii) To provide system, cloud and infrastructure support including configure, system enhancement and calibrate setting in the IT support system, smart devices and edge computers, etc.; ;iii) To facilitate testing and commissioning of IT support system, smart devices and edge computers, etc.; ;iv) To perform problem diagnosis and fixing, on-site investigation and configuration, user requirements analysis and system implementation; ;v) To coordinate and liaise with both supporting and user departments, suppliers, contractors and stakeholders in project implementation and maintenance; ;vi) To work outdoors at smart lampposts sites, work in non-office hours, including public holiday and perform any other assignments as and when necessary to support the work of DPO; and ;vii) To perform any other duties assigned by supervisors. ;""",4.0,1.0,"""i) The candidate must have in-depth solid experience in system and infrastructure implementation, including system and application development with new technologies, Linux administration and JavaScript programming. ;ii) Experience in programming in C++ and Unix/Linux shell scripting, application development for system with LoRaWAN and/or Bluetooth devices, maintenance and support of network and system are much preferable; and ;iii) Experiences in implementation or maintenance of computer systems with cloud infrastructure/services are much preferable; ;iv) Experiences in implementation or maintenance of support and maintenance of wireless multi-hop network system and Government-Wide IoT Network (GWIN) on lampposts are much preferable; ;v) Experiences in support and maintenance of Ubuntu Linux platform are much preferable; ;vi) Experiences in system development with MongoDB, Node.JS, MQTT, restful API are much preferable; ;vii) Experiences in installation of smart devices on lampposts are much preferable; and ;viii) Having understanding and knowledge on supporting Government internal administrative works (e.g. organisation of meeting and event with internal and external parties, preparation of line-to-take, etc.) are much preferable. ;Technical Skills: ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in Linux System Administration (LIN); ;. 2 years' experience in Multi-tier System Integration (MSI) is an advantage; ;. 2 years' experience in Unix/Linux Shell Scripting (ULS) is an advantage; ;. 2 years' experience in Web 2.0 Services (W2S) is an advantage; ;. 2 years' experience in Client/Server Application Development (C/S) is an advantage; ;. 2 years' experience in C++ (C++) is an advantage; ;. 2 years' experience in Data Management (DMT) is an advantage; ;. 2 years' experience in HTML version before HTML5 (HTM) is an advantage; ;. 2 years' experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. Good coordination skills is a must; ;. 2 years' experience in work with the Government (GOV) is an advantage; ;. 2 years' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 2 years' experience in managing Government IT standards (ITG) is an advantage; ;. Good spoken English is an advantage; ;. 2 years' experience in managing Government projects (MGP) is an advantage; ;. Good written English is an advantage; ;. 2 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 2 years' experience in project management (PRM) is an advantage; ;. 2 years' experience in IT procurement (PRO) is an advantage; ;. 2 years' experience in site preparation (SPE) is an advantage; ;. 2 years' experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33867"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMT,,,,,,,,,,,,,,GOV,GPD,GSS,,,,,,HTM,,,,,,,,,,,,,ITG,,ITS,,,JAP,,,,,,,LIN,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,PRM,PRO,,,,,,,,,,,,,,,,SPE,,,,,,,,,,,,ULS,,,,VMG,,,,,,,,,,,,,,,,,,,GWIN,,MSI,,
33864,Contract Systems Analyst (Bid Ref 54306-1),1,1,Others,Contract,23 Apr 2025,01 May 2025 to 31 Jan 2026 (9 months),under InfoTech,Government T26 Contract,"Eastern, Central and Western district, and any other area in Hong Kong subject to operational need",N/A - N/A,"""(T26) System implementation and maintenance for IT projects in Labour Department (LD)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LD; ;- Conduct ad-hoc technical studies and researches. ;- Highly engage in e-Gov initiatives coordination including but not limited to returns and surveys consolidation ;- Assist team manager in reviewing project deliverables ;- Provide on-going support for computer systems, including system design, development, system test, user acceptance test, maintaining system documentation and deployment of enhancements for applications, servers and systems ;- Assist hardware/software/services procurement, or any preparatory works of planned projects ;- To provide IT advisory support to users of the Labour Department (LD) ;- To perform any other relevant duties as assigned by supervisors ;- May work in various locations, including Eastern, Central and Western district, and any other area in Hong Kong ;- May be redeployed to provide IT support for other divisions/systems/projects in the future ;""",4.0,1.0,"""- Must have experience in Information System Study ;- Must have experience in IT Application Development and Management ;- Must have experience in System Implementation and Maintenance/Support ;- Must have work experience in the Government ;- Must have a good command of written English ;- Must have experience in Project Management ;- Work experience in SQL is desirable ;- Work experience in Java is desirable ;- Work experience in Management and Support of Gov Systems & Services are desirable ;- Work experience in IT Procurement is desirable ;- Work experience in Govt Procurement/Disposal Procedures are desirable ;- Interview will be conducted in both Cantonese and English ;- Written test may be required during the interview ;Technical Skills: ;. At least 4 years' experience in Information System Study (ISS); ;. At least 3 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. 3 years' experience in Structured Query Language (SQL) is an advantage; ;. 3 years' experience in JAVA Programming (JAV) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in work with the Government (GOV); ;. At least 2 years' experience in project management (PRM); ;. 2 years' experience in IT procurement (PRO) is an advantage; ;. 2 years' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33864"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,GPD,GSS,,,,,,,,,,,,,,,,ISS,,,,,,,,,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRM,PRO,,,,,,,,,,,,,,SIM,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33868,Contract Systems Analyst (Bid Ref 54263-1),1,1,Others,Contract,23 Apr 2025,30 May 2025 to 28 May 2026 (11 months),under InfoTech,Government T26 Contract,"Mainly Nam Cheong, Sham Shui Po, and occasional visit to other offices in Hong Kong",N/A - N/A,"""(T26) System Maintenance & Support of Centrally Managed Messaging Platform (CMMP) -""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;- Take part in analysis and design, implementation, and testing on system changes/enhancements of CMMP Wider Rollout, particularly on network infrastructure including load balancer, firewall, router, switch, SDN, VPN, DNS, system and networking monitoring tool. ;- Review the network design for CMMP Wider Rollout and maintain the network diagrams for the systems. ;- Identify and resolve potential issues for the network infrastructure. ;- Review and maintain other infrastructure components, including audit log system, privileged account management system. ;- Follow up on the assigned reported issues for the network infrastructure and the other infrastructure components. ;- Review the system reports and follow up the system alerts with the contractors/vendors. ;- Prepare and maintain scripts to automate tasks and integration with other sub-systems. ;- Assist in assuring and controlling of the quality of the project deliverables produced by the contractors/vendors. ;- Provide daily administrative support and produce reports and deliverables meeting the internal standards and requirements of the project. ;- Monitor and report system usage and healthiness. ;- Provide liaison and support to different stakeholders, and other B/Ds on the production setup and client rollout for CMMP Wider Rollout. ;- Self-motivated, able to work independently under pressure, multi-tasking and energetic. ;- Work outside office hours and provide on-call production support. ;- Perform any work assigned by supervisor. ;""",4.0,1.0,"""- Minimum of 4 years of post-qualification IT experience, in which includes a minimum of 1 years of working experience in system analysis and design. ;- Minimum of 4 years of working experience in Networking (viz. having comprehensive knowledge and experience in load balancers, software-defined networks, routers, switches, firewalls, intrusion detection/prevention systems, proxy servers, DNS, DHCP, metro-ethernet, copper and optical fiber cabling). ;- Minimum of 4 years of working experience in Network and System Management (viz. having comprehensive knowledge and experience in server administration for supporting tools including SNMP managers, network and system management and reporting). ;- Holder of Cisco Certified Internetwork Expert (""""CCIE""""), Huawei Certified ICT Expert (""""HCIE""""), Cisco Certified Network Professional (""""CCNP""""), Huawei Certified ICT Professional (""""HCIP""""), Cisco Certified Network Associate (""""CCNA"""") or Huawei Certified ICT Associate (""""HCIA"""") certification is preferred ;- Experience in other infrastructure components and configuration of Huawei routers and switches are preferred. ;- Experience in at least one virtualisation platform is preferred. ;- Knowledge and experience in working with/in the Government is preferred. ;- Good command in spoken and written English is required. ;- Criminal record checking is required. ;Technical Skills: ;. At least 4 years' experience in Network Design (NDN); ;. At least 4 years' experience in Networking (NET); ;. At least 4 years' experience in Network & System Management (NSM); ;. At least 3 years' experience in Infrastructure (INF); ;. 3 years' experience in Intrusion Prevention System (IPS) is an advantage; ;. 3 years' experience in Metro-Ethernet Network (MNE) is an advantage; ;. 3 years' experience in Router Configuration (ROU) is an advantage; ;. 3 years' experience in Virtual LAN/LAN Switching (VLS) is an advantage; ;. 3 years' experience in CISCO IOS Software & CISCO Products (CIP) is an advantage; ;. 3 years' experience in Huawei VRP & Huawei Products (HAU) is an advantage; ;. 3 years' experience in Intruder Detection/Alert Technology (IDA) is an advantage; ;. 3 years' experience in Internet Firewall Technical Support (IFW) is an advantage. ;Non-technical Skills: ;. Good spoken English is a must; ;. Good written English is a must; ;. Good Putonghua is an advantage; ;. Good coordination skills is an advantage; ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33868"")",,,,,,,,,,,,,,,,,,,,CIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,HAU,,,,,,,IFW,,INF,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,MNE,,,,,NDN,NET,NSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROU,,,,,,,,,,,,,,,,,,,,,,,VLS,,,,,,,,,,,,,,,,,,,,,IDA,,,
33838,Contract Systems Analyst (Bid Ref 54286-1),1,1,Application Development,Contract,23 Apr 2025,02 Jun 2025 to 30 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Wong Chuk Hang,N/A - N/A,"""(T26) System implementation of Trade Single Window""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CEDB; ;1. To provide support for the implementation of Trade Single Window; ;2. To conduct and provide support for application testing, system testing, user acceptance tests and system nursing; ;3. To conduct quality assurance on contractor's deliverables; ;4. To provide support for Privacy Impact Assessment and Security Risk Assessment and Audit; ;5. To monitor the performance of outsourced contractor(s); ;6. To carry out other duties as assigned by the supervisor. ;""",4.0,1.0,"""The candidate should possess: ;- solid experience in system implementation and application development; ;- sound technical knowledge on application testing in various operating systems and mobile platforms as well as system testing including system integration test, load test, resilience test and disaster recovery test; ;- sound technical knowledge on Ajax, REACT, JavaScript, CSS and HTML; and ;- sound knowledge on IT security. ;Experience in the following areas is an advantage: ;- solid experience in monitoring outsourced contractor(s); ;- hands-on experience in JAVA, REACT and RESTful API. ;The candidate should also: ;- be a team-player with good communication and interpersonal skills; ;- have strong sense of analytical and problem solving skills; and ;- be hard-working and self-motivated with positive attitude. ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 2 years' experience in JavaScript Programming (JAP); ;. 2 years' experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in work with the Government (GOV); ;. At least 1 year's experience in IT service/outsourcing management (OUT). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,07 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33838"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,ITS,,,JAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33865,Contract Systems Analyst (Bid Ref 54311-1),1,1,Others,Contract,23 Apr 2025,02 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,"Admiralty, Hong Kong",N/A - N/A,"""(T26) The post mainly participates in managing a redevelopment project for a contractor management system and supporting application systems of Development Bureau (Works Branch).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DEVB; ;- To manage a redevelopment project for a contractor management system; ;- To take part in all phases of the IT project including procurement of services, systems analysis and design, procurement and installation of computer systems, programming implementation, system nursing and maintenance; ;- To provide system maintenance support, manage enhancement works for a contractor management system, a tree management system; ;- To provide technical advices on problems, assist the understanding of impacts, and propose remedial actions to ensure minimal impact on the user and application system; ;- To involve in requirements collection and clarification, and bridge the communications among end users and contractors; ;- To assist users in preparing test plans and conducting user acceptance test; ;- To perform quality assurance on contractor's deliverables; ;- To manage and coordinate contractor activities and monitor their performance; ;- To perform any other system maintenance and support tasks as assigned; ;- To carry out project management duties as designated by the project manager; ;- To conduct any other IT related tasks as assigned; and ;- To perform over-time work outside office hours or on Saturdays, Sundays and public holidays occasionally. ;""",8.0,8.0,"""- Solid experience in project management, contract administration and user liaison; ;- Well-versed in user requirement collection, system analysis and design; ;- Hands-on experience in .Net C# and JavaScript programming ;- Good communication skill; and ;- Work independently. ;Technical Skills: ;. At least 7 years' experience in JavaScript Programming (JAP); ;. At least 7 years' experience in .NET C# (NEC); ;. At least 7 years' experience in System Implementation and Maintenance/Support (SIM); ;. 7 years' experience in Structured Query Language (SQL) is an advantage; ;. 2 years' experience in JAVA Programming (JAV) is an advantage. ;Non-technical Skills: ;. At least 7 years' experience in work with the Government (GOV); ;. At least 5 years' experience in Government procurement/disposal procedures (GPD); ;. At least 5 years' experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 8 years' relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33865"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,GPD,GSS,,,,,,,,,,,,,,,,,,,,,,,,JAP,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEC,
