33447,Contract Senior Systems Analyst (Bid Ref 53798-1),1,1,Others,Contract,27 Mar 2025,01 May 2025 to 28 Feb 2026 (9 months),under InfoTech,Government T26 Contract,"Room 613, 6/F., West Wing, Central Government Offices, 2 Tim Mei Avenue, Tamar, Hong Kong",N/A - N/A,"""(T26) Project initiation, implementation and on-going support of IT projects proposed in the Departmental IT Plan of CSB.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CSBU; ;A Senior Systems Analyst is mainly deployed to perform the following duties:;1. Carry out quality control and quality assurance, and project management duties as designated by supervisors;;2. Monitor all phases of computer projects;;3. Analyse, design and specify program components of computer systems;;4. Provide support and advice to various system upgrades, prepare and conduct system testing and user acceptance test;;5. Liaise with parties concerned (including users, vendors, and computer operators) for implementation and on-going activities support;;6. Perform vendor management;;7. Manage outsourcing services including quality assurance of deliverables, service acceptance;;8. Review the technical architecture proposed by vendors and conducting technical study on new technologies;;9. Provide technical advice to management, user or community as appropriate;;10. Perform evaluation and research of new hardware, software and technologies;;11. Provide problem resolution for system failure that may happen outside normal office hours; and;12. Oversee the initiation, implementation and maintenance support of other IT projects proposed in the Departmental IT Plan of CSB. ;""",7.0,4.0,"""1. Degree in Computer Science/Computer Studies, or equivalent;;2. At least seven (7) years' post-qualification full-time IT experience of which at least four (4) years must be in a similar post and in a comparable capacity;;3. Experience in software development life cycle;;4. Experience in Java and PHP technology;;5. Good knowledge of Microsoft Windows Server; ;6. Strong analytical and problem solving skills;;7. Good interpersonal and communication skills; and;8. Good oral and written communication skills in both Chinese (essentially Cantonese) and English. ;Technical Skills: ;. At least 7 years' experience in Departmental Portal (DPS); ;. At least 7 years' experience in JAVA Programming (JAV); ;. At least 7 years' experience in Microsoft Officer SharePoint Server Administration (MSP); ;. At least 7 years' experience in Structured Query Language (SQL); ;. At least 7 years' experience in Web Programming (WEB). ;Non-technical Skills: ;. At least 7 years' experience in work with the Government (GOV); ;. At least 5 years' experience in managing Government projects (IEG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 7 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33447"")",,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEG,,,,,,,,,,,,,,,,,,,,,,JAV,,,,,,,,,,,,,,,,,,,,,,,MSP,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEB,,,,,,,,,,,,,,,,,,,,
33479,Contract Systems Analyst (Bid Ref 54029-1),1,1,Others,Contract,07 Apr 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,Admiralty,N/A - N/A,"""(T26) a) Provide support for IT infrastructure monitoring and ticketing systems.;b) Be responsible for design, implementation and rollout of the enterprise infrastructure.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HKPF; ;a) To design, implement, rollout, administrate and support the enterprise infrastructure of Force's mission-critical IT infrastructure monitoring and ticketing systems ;""",10.0,8.0,"""a) To possess solid knowledge and experience in the implementation and support of mission-critical IT infrastructure monitoring and ticketing systems;b) To provide first line support on a roster basis;c) To apply patches to systems;d) To resolve problems;e) To provide technical advice to project team;f) To provide other services when required; and;g) Knowledge in Software Defined Network (SDN) is an advantage.;h) Security vetting is required before candidate reports for duty ;Technical Skills: ;. At least 6 years' experience in IBM AIX Unix (IBX); ;. At least 6 years' experience in Microsoft SQL Server (MSS); ;. At least 6 years' experience in Oracle Database Tuning (ODT); ;. At least 4 years' experience in Websphere Application Server Administration (WAA). ;Non-technical Skills: ;. At least 6 years' experience in work with the Government (GOV); ;. At least 5 years' experience in vendor management (VMG); ;. At least 1 year's experience in IT procurement (PRO). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 8 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33479"")",,,,GOV,,,,,AIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBM,IBX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSS,,,,,,,,,,,,,,,,ODT,,,,,,,,,,,,,,,,,,PRO,,,,,,,,,,,,,,,,,,,,,,,SDN,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,VMG,,,WAA,,,,,,,,,,,,,,,,,,,,,,,,,
33471,Contract Systems Analyst (Bid Ref 53957-1),1,1,Application Development,Contract,03 Apr 2025,02 May 2025 to 30 Apr 2026 (11 months),under InfoTech,Government T26 Contract,Kowloon Bay,N/A - N/A,"""(T26) 1. To develop a NEW electronic platform to facilitate Biomedical Engineering Service (BES) electronics maintenance form with responsive web interface (tablet and desktop based), real-time data validation, workflow capability, external system interfaces, etc.;2. Content management interface would be required for user regular maintenance of information and preparation of periodic reports.;3. Development is performed using Agile in a full-stack approach, utilizing micro-services, containers, continuous integration, automated testing and latest technologies stack.;4. Collaboration and liaison with other development teams to exchange asset data using RESTful API and MQ is often required to facilitate the system integration process for transactional and master data exchange.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the E&MSD; ;A. To carry out system analysis & design, implementation, documentation, report generation, testing and maintenance of information management systems;;B. To lead developers for developing, enhancing and maintaining web features developed on MEAN stack;;C. To define, deliver and maintain API design and web pages for information management systems;;D. To design security aspect of the system and assist in security audit and assessment;;E. To enhances system performance of various management systems as a whole, including from software perspective (e.g. API design, version upgrade) and infrastructure perspective (e.g. hardware utilization, resilience), and prepare technical proposals proactively;;F. To ensure project deliverables to be on time and meet quality standard;;G. To monitor the performance of his / her subordinates;;H. To evaluate and inspect/review hardware, software, and prepare technical proposals of IT equipment and services; and;I. To perform other IT services or tasks as assigned by supervisor. ;""",5.0,3.0,"""i) Degree or Higher diploma in computer subjects or related disciplines.;ii) 5 years or above hands-on experience in IT application development of which 3 years must be in similar post and in comparable capacity.;iii) Solid experience in web application and/or mobile application systems using HTML5 and Angular;iv) Experience in web server systems using Java, Node.js, Python, SQL Server, MongoDB is preferred.;v) Knowledge on version control software (e.g. SVN, Git and/or Team Foundation Version Control) is preferred.;vi) Solid experience in systems design and analysis for sizable government projects.;vii) Strong commitment to project deadline and delivering high quality work;viii) Creative, analytical, self-initiative, responsible and well-organized.;ix) Good team player and leader, proactive communication with his / her teammates and subordinates.;x) Good knowledge and experience in system design and database design.;xi) Good communication skills in English and Cantonese.;xii) Strong commitment to project deadline and delivering high quality work.;xiii) Good interpersonal relationship and emotion management.;xiv) Experience in web application deployment procedures, source code revision control, issues management is a plus.;xv) Satisfactory result in the written test on the interview day. ;Technical Skills: ;. At least 5 years' experience in IT Application Development and Management (ADM); ;. At least 5 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 4 years' experience in Object-oriented Analysis and Design (OOA); ;. At least 3 years' experience in Client/Server Application Development (C/S); ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in Microsoft SQL Server (MSS); ;. At least 3 years' experience in Wireless and Mobile (WLM); ;. At least 2 years' experience in Enterprise Application Integration (EAI); ;. At least 2 years' experience in Source Control Management System (SCM); ;. At least 2 years' experience in Web 2.0 Services (W2S); ;. 3 years' experience in Data Modeling (DMO) is an advantage. ;Non-technical Skills: ;. At least 3 years' experience in work with the Government (GOV); ;. At least 3 years' experience in software testing (STM); ;. 2 years' experience in tender preparation and administration (TPA) is an advantage; ;. 2 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 2 years' experience in presentation (PEX) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33471"")",,ADM,,GOV,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMO,,,,,,,,,,,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAP,,,,,,,,,,,,,,,,,,,,,,,,,,,MSS,,,,,,,,,,,,,,,,,,OOA,,,,,,PEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM,,,,,,SIM,,,,,,SQL,,,,STM,SVN,,,,,TPA,,,,,,,,,,,,,,,,,,,,,,,,WLM,,,,,,,,,,,,,,,,,
33492,Contract Systems Analyst (Bid Ref 54026-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Sheung Wan, Queensway, Wan Chai, Central",N/A - N/A,"""(T26) a) IT system projects feasibility study, development, implementation, maintenance and support.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;1. Project planning and monitoring;;2. Perform system analysis and design;;3. Supervise sub-ordinate programmers;;4. Develop program;;5. Conduct program unit test, system test and load test;;6. Produce documentation;;7. Assist user to conduct user acceptance test;;8. Conduct user training; ;9. Provide maintenance and on-going support for DOJ systems; and;10. Perform any other duties (e.g. helpdesk, on-call support duty during non-office hours, weekends and public holidays) as may be required from time to time relevant to the implementation and maintenance support of the above and any other systems of the department. ;""",6.0,3.0,"""- Experiences and/or knowledge in Government Legal Workflow System would be an advantage.;- Knowledge and experience in development, implementation and support of web-based application system;- Any other duties which may be assigned for implementation of the project;- It is required to render on site support services at user offices scattered in various locations of Kowloon and Hong Kong Island. ;Technical Skills: ;. At least 7 years' experience in Data Management (DMT); ;. At least 7 years' experience in JavaScript Programming (JAP); ;. At least 7 years' experience in JBoss Application Server (JAS); ;. At least 7 years' experience in JAVA Programming (JAV); ;. At least 7 years' experience in J2EE Development (JDE). ;Non-technical Skills: ;. At least 5 years' experience in work with the Government (GOV); ;. Excellent written English is a must; ;. At least 5 years' experience in software testing (STM). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33492"")",,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAP,JAS,JAV,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33487,Contract Systems Analyst (Bid Ref 54016-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Sheung Wan, Queensway, Wan Chai, Central",N/A - N/A,"""(T26) a) IT system projects, feasibility study, development, implementation, maintenance and support.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;1. Project planning and monitoring;;2. Perform network design;;3. Server infrastructure design and installation ; ;4. Supervise sub-ordinate programmers;;5. Conduct program unit test, system test and load test;;6. Produce documentation;;7. Assist user to conduct user acceptance test;;8. Conduct user training; ;9. Provide maintenance and on-going support; ;10. To maintenance and on-going support DOJ systems; and;11. Perform any other duties (e.g. helpdesk, on-call support duty during non-office hours, weekends and public holidays) as may be required from time to time relevant to the implementation and maintenance support of the above and any other systems of the department. ;""",6.0,4.0,"""- Experiences and/or knowledge in Government Legal Workflow System would be an advantage.;- Knowledge and experience in development, implementation and support of web-based application system;- Any other duties which may be assigned for implementation of the project;- It is required to render on site support services at user offices scattered in various locations of Kowloon and Hong Kong Island. ;Technical Skills: ;. At least 7.5 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 7.5 years' experience in Internet Firewall Technical Support (IFW); ;. At least 7.5 years' experience in Network & System Management (NSM); ;. At least 7.5 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 7.5 years' experience in Server Virtualisation Technology (SVT). ;Non-technical Skills: ;. At least 5 years' experience in vendor management (VMG); ;. At least 1.5 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33487"")",,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33484,Contract Senior Systems Analyst (Bid Ref 54006-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Sheung Wan, Queensway, Wan Chai, Central",N/A - N/A,"""(T26) IT helpdesk, support services and computer room operation.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;1. To supervise and manage the provision of Helpdesk services and a team of six to eight Helpdesk staff ;2. To manage the computer room operation.;3. To give technical guidance to Helpdesk team members in diagnosing PC hardware and software problems and provide practical solutions;4. To provide user support for general office automation systems ;5. To monitor network administration and operation and assist in system administration work of the computer network;6. To identify and analyze recurrent problems and faults in IT applications and recommend remedial measures;7. To assist in planning and implementation of system upgrade and office relocation projects ;8. To compile statistical reports on Helpdesk services;9. To prepare duty roster and assist in handling personnel matters of Helpdesk team ;10. To provide personal training and demonstration to senior rank end-users on various systems ;""",10.0,7.0,"""- Candidates should preferably have eight years of experience in a supervisory position in the helpdesk services, managing not less than five staff.;- Experience in providing user support to OpenText eDocs Document Management is a definite advantage. ;Technical Skills: ;. At least 9 years' experience in Document Management System (DMS); ;. At least 9 years' experience in Disaster Recovery Planning (DRP); ;. At least 9 years' experience in Lotus Notes Mail Admin. & Technical Support (LNM); ;. At least 9 years' experience in IT Operational Management (OPM). ;Non-technical Skills: ;. At least 9 years' experience in customer relations (ECR); ;. At least 9 years' experience in work with the Government (GOV); ;. At least 9 years' experience in helpdesk call handling (HDT); ;. At least 9 years' experience in site preparation (SPE). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 7 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33484"")",,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMS,,,,,,DRP,,,,,,ECR,,,,,,,,,,,,,,,,,,,,,,HDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33482,Contract Senior Systems Analyst (Bid Ref 54002-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Sheung Wan, Queensway, Wan Chai, Central",N/A - N/A,"""(T26) a) IT system projects feasibility study, development, implementation, maintenance and support.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;1. Project planning and monitoring;;2. Perform system analysis and design;;3. Supervise sub-ordinate programmers;;4. Develop program;;5. Conduct program unit test, system test and load test;;6. Produce documentation;;7. Assist user to conduct user acceptance test;;8. Conduct user training; ;9. Provide maintenance and on-going support for DOJ systems; and;10. Perform any other duties (e.g. helpdesk, on-call support duty during non-office hours, weekends and public holidays) as may be required from time to time relevant to the implementation and maintenance support of the above and any other systems of the department. ;""",9.0,6.0,"""- Experiences and/or knowledge in Government Legal Workflow System would be an advantage.;- Knowledge and experience in development, implementation and support of web-based application system;- Any other duties which may be assigned for implementation of the project;- It is required to render on site support services at user offices scattered in various locations of Kowloon and Hong Kong Island. ;Technical Skills: ;. At least 9 years' experience in Oracle RDBMS (ODB); ;. At least 9 years' experience in Object-oriented Analysis and Design (OOA); ;. At least 9 years' experience in Oracle Application Development (ORA); ;. At least 9 years' experience in SSADM (SDM); ;. At least 5 years' experience in Electronic Form (EFM). ;Non-technical Skills: ;. At least 9 years' experience in work with the Government (GOV); ;. At least 9 years' experience in the management and support of Government systems and services (GSS); ;. Good written English is a must. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 9 years' post-qualification experience in which at least 6 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33482"")",,,,GOV,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,OOA,,,ORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33468,Contract Systems Analyst (Bid Ref 53947-1),1,1,Application Development,Contract,03 Apr 2025,02 May 2025 to 30 Apr 2026 (11 months),under InfoTech,Government T26 Contract,Kowloon Bay,N/A - N/A,"""(T26) To design and develop application for work process improvements and innovation & technology projects in Health Sector Division, including;i. Develop web based applications in Microsoft C#.NET Core and SQL Server, ReactJS, AngularJS with typescript and MongoDB, etc;ii. Enhance and maintain existing applications in ReactJS, AngularJS, Python, Microsoft C# .NET Core, ASP.NET, MongoDB and SQL Server based web applications;iii. Working platform with Docker and CI/CD with Azure""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the E&MSD; ;1. Participate in the whole application development cycle (e.g. gather user requirements, design and analyze solutions, testing and verification, maintenance and enhancement);2. Coordinate project works and liaise with contractors, in-house IT team and other stakeholders;3. SQL Database and Server IIS Administration;4. Ensure compliance to government policies, process and standards;5. Assist Divisional IT Coordinator to provide technical advice on application development and IT related activities; and;6. Perform other IT services and related tasks assigned by supervisor. ;""",6.0,2.0,"""1. Degree or Higher diploma in computer subjects or related disciplines.;2. 6 years or above hands-on experience in IT application development of which 2 year must be in similar post and in comparable capacity.;3. Solid experience in web application development, implementation and maintenance using programming languages with Microsoft C#.NET Core, ReactJS, AngularJS, TypeScript and Python ;4. Good manage in MS SQL server, MongoDB and Server IIS Administration;5. Experience in Docker and CI/CD with Azure;6. Familiar with using Git, Visual Studio code and Visual Studio;7. Solid experience in IT system analysis, design and testing;8. Solid experience in feasibility and technical studies;9. Good knowledge of operation system / platforms (Windows, Unix, Linux, MVS, VMWare or Netware);10. Good knowledge of implementation and management of outsourced IT contract;11. Creative, analytical, self-initiative, responsible and well-organized;12. Good team player and leader, proactive communication with teammates and subordinates.;13. Good communication and presentation skills in English and Cantonese. ;Technical Skills: ;. At least 6 years' experience in IT Application Development and Management (ADM); ;. At least 5 years' experience in JavaScript Programming (JAP); ;. At least 5 years' experience in MS ASP.NET (MSA); ;. At least 5 years' experience in Microsoft SQL Server (MSS); ;. At least 5 years' experience in .NET C# (NEC); ;. At least 5 years' experience in Visual Studio. Net (VSN); ;. At least 5 years' experience in Web Programming (WEB); ;. 3 years' experience in XML (XML) is an advantage; ;. 3 years' experience in Rapid Application Development Methodology (RAD) is an advantage; ;. 3 years' experience in Source Control Management System (SCM) is an advantage; ;. 3 years' experience in Microsoft Officer SharePoint Server Administration (MSP) is an advantage; ;. 3 years' experience in Client/Server Application Development (C/S) is an advantage. ;Non-technical Skills: ;. At least 5 years' experience in work with the Government (GOV); ;. At least 5 years' experience in software testing (STM); ;. 3 years' experience in tender preparation and administration (TPA) is an advantage; ;. 3 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 3 years' experience in presentation (PEX) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33468"")",,ADM,,GOV,,,OUT,,,,,,,,,,ASP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIS,,,,,,,,,,,,,,,,,,JAP,,,,,,,,,,,,,,,,,,,,,,,MSA,,MSP,,MSS,,,MVS,,,,NEC,,NET,,,,,,,,,,,,,,,PEX,,,,,,,,,,,,,,,,,,RAD,,,,,,,,,,,SCM,,,,,,,,,,,,SQL,,,,STM,,,,,,TPA,,,,,,,,,,,,,,,VSN,,,,,,WEB,,,,,,,,,XML,,,,,,,,,,,
33437,Contract Senior Systems Analyst (Bid Ref 53981-1),1,1,Others,Contract,02 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,Central and Sheung Wan,N/A - N/A,"""(T26) IT system project management, feasibility study, development, implementation, maintenance and support.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;(a) Project planning and monitoring;;(b) Assist in project and contractor management;;(c) Perform system analysis and design;;(d) Supervise sub-ordinate system analysts and programmers;;(e) Develop programs;;(f) Conduct program unit test, system test and load test;;(g) Produce documentation;;(h) Assist users to conduct user acceptance test;;(i) Conduct user training; ;(j) Provide maintenance and on-going support to DoJ systems; and;(k) Perform any other duties (e.g. helpdesk, on-call support duty during non-office hours, weekends and public holidays) as may be required from time to time relevant to the implementation and maintenance support of the above and any other systems of the department. ;""",8.0,3.0,"""(a) Experience and/or knowledge in Government Legal Workflow System would be an advantage.;(b) Knowledge and experience in development, implementation and support of web-based application system;(c) Any other duties which may be assigned for implementation of the project;(d) It is required to render on-site support services at user offices scattered at various locations in Hong Kong. ;Technical Skills: ;. At least 8 years' experience in Enterprise Application Integration (EAI); ;. At least 8 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 8 years' experience in Oracle Application Server Admin. and Tuning (OAT); ;. At least 8 years' experience in System Implementation and Maintenance/Support (SIM). ;Non-technical Skills: ;. At least 7 years' experience in work with the Government (GOV); ;. At least 7 years' experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33437"")",,,,GOV,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33462,Contract Systems Analyst (Bid Ref 54007-1),1,1,Others,Contract,31 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,"Mainly at North Point Government Offices and require to visit sub-offices on HK Island, Kln & NT",N/A - N/A,"""(T26) Monitoring, support and maintenance of departmental network and infrastructure and related services.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LandsD; ;- Microsoft Active Directory Administration support and monitor DHCP, DNS and Active Directory servers;- Migration of multiple domains in Active Directory;- maintain Group Policy on Windows 2019 or above domain;- provide security advice on applications and infrastructure;- monitor and support the Storage Area Network and Network Attached Storage device;- setup and implement Private Cloud;- monitor and support Private Cloud (such as Nutanix, VMware and AWS Outpost);- produce deliverables including technical advice, user requirement specifications, assignment briefs for procurement of hardware, software and services;- take part in all phases of computer projects;- transfer computer items between different sites;- perform any other duties assigned by supervisor ;""",4.0,1.0,"""In addition to above technical requirements, the applicant must at least have:;1) 12 months of working experience in Microsoft Active Directory Administration (2012 or above);2) 12 months of working experience in VMware Server Farm monitoring and support are a must (i.e. mandatory requirements);3) 12 months of working experience in monitoring tool supporting experience (such as SolarWinds);4) 12 months of working experience in monitoring and supporting Private Cloud (such as Nutanix, VMWare and;AWS Outpost);;Having the experience in implementing NVIDIA and vDWA solution and virtualizing GIS, CAD and photogrammetry;applications on Nutanix Hyper-Converged Infrastructure will be an advantage ;Technical Skills: ;. At least 1 year's experience in Microsoft Active Directory Administration (ADA); ;. At least 1 year's experience in Network & System Management (NSM); ;. At least 1 year's experience in Storage Area Network (SAN); ;. At least 1 year's experience in Server Virtualisation Technology (SVT); ;. At least 1 year's experience in Windows Server 2008/2012 (W12). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,20 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33462"")",ADA,,,,,,,SAN,,,,,,,,,,,AWS,,,,,,,,CAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
