33813,Contract Systems Analyst (Bid Ref 54256-1),1,1,Application Development,Contract,16 Apr 2025,01 Jun 2025 to 31 May 2026 (12 months),under InfoTech,Government T26 Contract,Kowloon City,N/A - N/A,"""(T26) To provide application development and support for IT systems of ER&PMB and CHP of DH""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DH; ;Responsible for system support, maintenance and enhancement of in-house application systems for Emergency Response and Programme Management Branch (ER&PMB) and Centre for Health Protection (CHP). The duties include to:;(a) perform problem diagnosis and program fixing;;(b) perform physical design and specify program components for system enhancements;;(c) prepare and conduct system testing;;(d) produce system documentation;;(e) supervise analyst programmers to perform program development and system testing;;(f) perform on call support duty; and;(g) perform tasks as assigned by supervisor.;;Normal Working Hours: Mon: 0900-1800; Tue-Fri: 0900-1745 ;""",4.0,1.0,"""The candidate should;(1) possess experience in:;- SA&D, application development and testing;- application development using Java programming language;- web services including APIs, RESTful services, etc.;- SQL ;- Web Hosting and Maintenance;(2) be able to communicate in Cantonese and English and can read/write Chinese and English;(3) follow prevailing infection control measures as required by the government. ;Technical Skills: ;. At least 2 years' experience in IT Application Development and Management (ADM); ;. At least 2 years' experience in JAVA Programming (JAV); ;. At least 2 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in Web Hosting, Design and Maintenance (WED); ;. At least 2 years' experience in Web Services (WSV). ;Non-technical Skills: ;. At least 6 months' experience in the management and support of Government systems and services (GSS); ;. At least 6 months' experience in public health informatics (PHI). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33813"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WED,,,,,,,,,WSV,,,,,,,,,,,,,,,,,,,
33782,Contract Systems Analyst (Bid Ref 54175-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Implementation of IT Systems and providing application support for LR""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- To perform application development and maintenance and provide 7 x 24 on-call support of IT systems.;- To perform impact analysis and implement enhancements and software upgrades.;- To conduct quality review, conduct system testing, support user acceptance test and production release, etc.;- To perform any other duties assigned by supervisor. ;""",5.0,2.0,"""- Solid hands-on experience in large-scale application development projects, especially for land registration or land conveyancing business.;- Hands-on experience in .NET and J2EE application development.;- Good command of written English and Chinese. ;Technical Skills: ;. At least 2 years' experience in Enterprise Java Beans Development (EJB); ;. At least 2 years' experience in J2EE Development (JDE); ;. At least 2 years' experience in SQL*PLUS/PL/SQL/PRO*C (OPL); ;. At least 2 years' experience in Structured Query Language (SQL); ;. 2 years' experience in FileNet (FLN) is an advantage; ;. 2 years' experience in C++ (C++) is an advantage. ;Non-technical Skill: ;. At least 2 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33782"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJB,,,,,FLN,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33774,Contract Systems Analyst (Bid Ref 54133-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Development, Maintenance and Support of IT Systems for the Land Registry (LR)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- This is a project-based post;;- To perform application development of in-house and Internet facing applications;;- To participate in the development and maintenance of IT systems to support the business and operation of the LR;;- To conduct quality review and system tests on technical products;;- To coordinate and assist users in the conduct of user acceptance tests;;- To coordinate and assist in the system deployment and rollout;;- To perform impact analysis for the system enhancements / changes;;- To handle system incidents and assist in online service resumption; and;- To provide IT support to the future operation of title registration including analysis of land records. ;""",6.0,2.0,"""- Good verbal and written communication skills in both English and Chinese;;- Solid hands-on experience in developing bilingual web application systems under UNIX/Oracle/Visual Basic/J2EE environment;;- Solid hands-on experience in EJB3 application development;;- Good analytical skills and able to work independently;;- Good business knowledge on land registration and/or real estate related information systems;;- May require working in other LR offices within HK territory and outside normal office hours (including;Saturday, Sunday and Public Holiday); and;- Provide 7x24 on-call production system support. ;Technical Skills: ;. At least 4 years' experience in JAVA Programming (JAV); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in .Net Development (NDE); ;. At least 1 year's experience in Enterprise Java Beans Development (EJB); ;. At least 1 year's experience in FileNet (FLN); ;. 6 months' experience in Java Application Framework (e.g. Struts (Apache)) (JAF) is an advantage; ;. 6 months' experience in C++ (C++) is an advantage; ;. 6 months' experience in Chinese Processing (CHI) is an advantage; ;. 6 months' experience in Oracle RDBMS (ODB) is an advantage; ;. 6 months' experience in SQL*PLUS/PL/SQL/PRO*C (OPL) is an advantage; ;. 6 months' experience in UNIX (UNX) is an advantage; ;. 6 months' experience in Visual Basic (VBC) is an advantage; ;. 6 months' experience in WebLogic Server Administration (WLG) is an advantage; ;. 6 months' experience in Web Services (WSV) is an advantage; ;. 6 months' experience in XML (XML) is an advantage. ;Non-technical Skills: ;. Good written English is a must; ;. 6 months' experience in quality assurance (QAS) is an advantage; ;. 6 months' experience in work with the Government (GOV) is an advantage; ;. 6 months' experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33774"")",,,,,,,,,,,,,,,,,,,,,,,,,,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJB,,,,,FLN,,,,,,,GOV,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,,,JAV,,,,,,,,,,,,,,,,,,,,,,,NDE,,,,,,,,,ODB,,,,,OPL,,,,,,,,,,,,,,,,,,,,QAS,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,UNX,,VBC,,,,,,,,,,,,,,,,WLG,,,,,,WSV,XML,,,,,,,,,,,,,,,,,,
33768,Contract Senior Systems Analyst (Bid Ref 54112-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Implementation of IT system and providing application support for LR""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- To supervise other IT support staff for the development of in-house applications ;- To perform development and provide 7 x 24 on-call support of IT systems to support lodgement, registration and search of land register records.;- To perform development and support for workflow application.;- To perform impact analysis and implement enhancements, bug fixes and software upgrades.;- To conduct quality review, conduct system testing, support user acceptance test and production release, etc.;- To update system documents.;- To perform any other duties assigned by supervisor. ;""",8.0,3.0,"""- Solid hands-on experience in large-scale application development projects, especially for land registration or land conveyancing business.;- Good command of written English and Chinese. ;Technical Skills: ;. At least 5 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 5 years' experience in Enterprise Java Beans Development (EJB); ;. At least 5 years' experience in J2EE Development (JDE); ;. At least 5 years' experience in SQL*PLUS/PL/SQL/PRO*C (OPL); ;. 2 years' experience in Visual Basic (VBC) is an advantage; ;. 2 years' experience in C++ (C++) is an advantage; ;. 2 years' experience in FileNet (FLN) is an advantage; ;. 2 years' experience in Imaging (IMG) is an advantage. ;Non-technical Skill: ;. At least 5 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33768"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOC,,,,,,,,,EJB,,,,,FLN,,,,,,,GOV,,,,,,,,,,,,,,,,IMG,,,,,,,,,,,,,,,,,,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33762,Contract Senior Systems Analyst (Bid Ref 54104-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Development, Maintenance and Production Support of IT Systems for the Land Registry (LR)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- This is a project-based post;;- To perform J2EE application development of in-house and Internet facing applications;;- To review and identify the appropriate application frameworks, libraries, tools, programming standards and other technologies fit for use in the development of large scale IT systems;;- To plan, coordinate and participate in the system development, system tests, user acceptance test, user training, documentation, system deployment and rollout of IT systems;;- To liaise with end users and perform impact analysis for the system enhancements/changes;;- To coordinate and manage vendors to deliver IT services; and;- To carry out any other duties assigned by the supervisor. ;""",8.0,4.0,"""- Good in verbal and written communication in both English and Chinese;;- Solid hands-on experience in developing large scale bilingual application systems, including client-server and web applications;;- Solid hands-on experience in EJB3 application development;;- Self-motivated and be able to work independently; and;- May need to work in other LR offices within HK territory and outside normal office hours (including Saturday, Sunday and Public Holiday). ;Technical Skills: ;. At least 4 years' experience in JAVA Programming (JAV); ;. At least 3 years' experience in Oracle RDBMS (ODB); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in Enterprise Java Beans Development (EJB); ;. 6 months' experience in UNIX (UNX) is an advantage; ;. 6 months' experience in Web Programming (WEB) is an advantage; ;. 6 months' experience in SQL*PLUS/PL/SQL/PRO*C (OPL) is an advantage; ;. 6 months' experience in J2EE Development (JDE) is an advantage. ;Non-technical Skills: ;. Good written English is a must; ;. 6 months' experience in quality assurance (QAS) is an advantage; ;. Good coordination skills is an advantage; ;. 6 months' experience in managing Government projects (MGP) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33762"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,JDE,,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,ODB,,,,,OPL,,,,,,,,,,,,,,,,,,,,QAS,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,UNX,,,,,,,,,,,,,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33777,Contract Systems Analyst (Bid Ref 54169-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Implementation of IT systems and providing application support for LR.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- To perform application development and maintenance and provide 7 x 24 on-call support for IT systems. ;- To perform impact analysis and implement enhancements and software upgrades.;- To conduct quality review, conduct system testing, support user acceptance test and production release, etc.;- To perform any other duties assigned by supervisor. ;""",5.0,3.0,"""- Solid hands-on experience in large-scale application development projects, especially for land registration or land conveyancing business. ;- Hands-on experience in workflow application development.;- Good command of written English and Chinese. ;Technical Skills: ;. At least 2 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 2 years' experience in Enterprise Java Beans Development (EJB); ;. At least 2 years' experience in FileNet (FLN); ;. At least 2 years' experience in J2EE Development (JDE); ;. 2 years' experience in Visual Basic (VBC) is an advantage; ;. 2 years' experience in C++ (C++) is an advantage. ;Non-technical Skill: ;. At least 2 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33777"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOC,,,,,,,,,EJB,,,,,FLN,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33748,Contract Systems Analyst (Bid Ref 54161-1),1,1,Others,Contract,15 Apr 2025,02 Jun 2025 to 28 Feb 2026 (8 months),under InfoTech,Government T26 Contract,Tseung Kwan O and occasionally working at various Immigration offices and control points.,N/A - N/A,"""(T26) To deliver planning and support for system upgrades and enhancements for the Internet Access Gateway System (IAGS), Software Assets Management (SAM), Endpoint Detection and Response (EDR), the next generation of Intranet Portal and the Enterprise File Sharing Infrastructure.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ImmD; ;To plan for and carry out various system upgrades and enhancements for the Internet Access Gateway System (IAGS), Software Assets Management (SAM), Endpoint Detection and Response (EDR), the next generation of Intranet Portal and the Enterprise File Sharing Infrastructure, including:;- supporting the SAM for conducting regular software inventory check utilizing Microsoft Configuration Manager on a virtualisation platform;;- ensuring the stability, monitoring the utilisation and performing enhancement for the IAGS;;- providing support for the deployment of EDR to the Government Office Automation (GOA) system and workstations, along with subsequent maintenance and enhancement of the EDR system;;- providing maintenance and consequential enhancements for the Intranet Portal, employing Microsoft SharePoint, and planning for the systems analysis and design of the next generation of the Intranet Portal;;- performing enhancements for the Enterprise File Sharing Infrastructure;;- assisting in departmental IT security risk assessments and audits and reviewing the IT security measures of the above systems according to the latest IT Security Policy and Guidelines; and;- performing other duties as assigned by the supervisor. ;""",4.0,1.0,"""The candidate shall possess the following mandatory technical skills:;(a) solid system support experience in Government Office Automation (GOA) desktop system, Intranet Portal services and Enterprise File Sharing Infrastructure;;(b) profound knowledge and solid support experience in Microsoft Configuration Manager, Microsoft SharePoint and Microsoft SQL Server;;(c) profound knowledge and solid support experience in server virtualisation platforms;;(d) solid experience in IT security risk assessment and audit; and;(e) solid experience in network and security technologies, particularly Endpoint Detection and Response.;;Criminal record check will be required. ;Technical Skills: ;. At least 3 years' experience in Microsoft Officer SharePoint Server Administration (MSP); ;. At least 3 years' experience in Proxy Server (PRS); ;. At least 3 years' experience in Server Virtualisation Technology (SVT); ;. 2 years' experience in Data/File Backup Technology (DFT) is an advantage; ;. 2 years' experience in Security Risk Assessment and Audit (SAA) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in work with the Government (GOV); ;. At least 1 year's experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,01 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33748"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFT,,,,,,,,,,,,,,,,,,,,,,,,GOA,GOV,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRS,,,,,,,,,SAA,,,,,,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33773,Contract Senior Systems Analyst (Bid Ref 54131-1),1,1,Others,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Development, Maintenance and Support of IT Systems for the LR""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- To participate in the development and maintenance of IT systems to support the business and operation of the LR;;- To conduct quality review and system tests on technical products;;- To plan, coordinate and assist users in the conduct of user acceptance tests;;- To coordinate and assist in the system deployment and rollout;;- To perform impact analysis for the system enhancements / changes;;- To handle system incidents and assist in online service resumption; and;- To provide IT support to the future operation of title registration including analysis of land records.;- To manage service contracts with IT service providers. ;""",10.0,3.0,"""- Excellence in verbal and written communication in both English and Chinese;;- Solid hands-on experience in the development, maintenance and support of IT systems especially for land registration or land conveyancing business;;- Solid hands-on experience in developing bilingual web application, document management and imaging systems under Unix/Oracle platform;;- Knowledge and experience in RAD or OO Analysis and Design;;- Good analytical skills and able to work independently; and;- May need to work in other LR offices within HK territory and outside normal office hours (including Saturday, Sunday and Public Holiday); and;- Provide 24x7 on-call production system support. ;Technical Skills: ;. At least 4 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 4 years' experience in FileNet (FLN); ;. At least 4 years' experience in Imaging (IMG); ;. At least 4 years' experience in Web Programming (WEB); ;. 6 months' experience in Windows Programming (WPG) is an advantage; ;. 6 months' experience in Web Services (WSV) is an advantage; ;. 6 months' experience in XML (XML) is an advantage; ;. 6 months' experience in Oracle RDBMS (ODB) is an advantage; ;. 6 months' experience in Object-oriented Analysis and Design (OOA) is an advantage; ;. 6 months' experience in Rapid Application Development Methodology (RAD) is an advantage; ;. 6 months' experience in Structured Query Language (SQL) is an advantage; ;. 6 months' experience in UNIX (UNX) is an advantage; ;. 6 months' experience in HP-UX (HPX) is an advantage; ;. 6 months' experience in Chinese Processing (CHI) is an advantage; ;. 6 months' experience in Data Modeling (DMO) is an advantage; ;. 6 months' experience in Data Management (DMT) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in project development in specified business areas (PDE); ;. 6 months' experience in quality assurance (QAS) is an advantage; ;. 6 months' experience in work with the Government (GOV) is an advantage; ;. 6 months' experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33773"")",,,,,,,,,,,,,,,,,,,,,,,,,,CHI,,,,,,,,,,,,,,,,,DMO,,DMT,DOC,,,,,,,,,,,,,,FLN,,,,,,,GOV,,,GSS,,,,,HPX,,,,,,,,IMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,OOA,,,,,,PDE,,,,,,,,,,,,,,,QAS,,RAD,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,UNX,,,,,,,,,,,,,,WEB,,,,,,,,,WPG,WSV,XML,,,,,,,,,,,,,,,,,,
Removed : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33387,Contract Project Manager (Bid Ref 53807-1),1,1,Others,Contract,01 Apr 2025,02 May 2025 to 15 Mar 2026 (10 months),under InfoTech,Government T26 Contract,Cyberport,N/A - N/A,"""(T26) Support the inventory management, contract management and capacity planning of the Government Cloud Infrastructure Services (GCIS)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;This post is responsible for the inventory management, contract management and project management of GCIS contract;- Take part in the project management and contractor management for GCIS ;- Manage and consolidate the hardware and software inventory of GCIS;- Work with client advisory team, technical team and GCIS contractor to support GCIS operation, multiple tenants and to assist in annual capacity planning for GCIS ;""",8.0,2.0,"""- Knowledge and experience in cloud computing technologies including server virtualisation, security, etc.;- Solid experience in inventory management;- Experience in managing IT projects, project management and contractor management;- Competent communication skills, both verbal and written, and interpersonal techniques;- Experience in acceptance of IT infrastructure project deliverables preferred;- Strong analytical mind and problem solving techniques;- Knowledge in government procurement procedures is an advantage ;Technical Skills: ;. At least 2 years' experience in Infrastructure (INF); ;. At least 2 years' experience in IT Security (ITS); ;. At least 2 years' experience in PRINCE (PRE); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. 6 months' experience in Storage Area Network (SAN) is an advantage; ;. 6 months' experience in IT Operational Management (OPM) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in IT service/outsourcing management (OUT); ;. At least 2 years' experience in project management (PRM); ;. Good written English is a must; ;. 2 years' experience in managing Government projects (MGP) is an advantage; ;. 1 year's experience in customer service (CLS) is an advantage; ;. 1 year's experience in Government procurement/disposal procedures (GPD) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,18 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33387"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPD,,,,,,,,,,,,,,,,INF,,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,OPM,,,OUT,,,,,,,,,,,PRE,PRM,,,,,,,,,,,,SAN,,,,,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33650,Contract Systems Analyst (Bid Ref 54091-1),1,1,Application Development,Contract,31 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Mainly at TWGO. The staff is required to work in other offices in Hong Kong when requested.,N/A - N/A,"""(T26) Development and maintenance of Geographic Information Systems (GIS) and IT services in Lands Department.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LandsD; ;- To supervise subordinates in carrying out application development activities;;- To design, analyze, implement and support Internet/Intranet web and mobile GIS applications;;- To liaise with Government B/Ds to collect and analyze user requirements, and design technical solutions;;- To design and implement scalable application architecture and framework which provide security, agility and flexibility for web/mobile GIS application development and web GIS API development;;- To conduct program testing, system testing and developing systematic test cases to support user acceptance test;;- To conduct quality assurance, verification and rectification of data and applications;;- To prepare and maintain program documents to support system enhancement and bug fixing;;- To prepare project reports and specifications; ;- To collaborate with data team and infrastructure team on enabling changes and system optimization; ;- To assist in preparation of training and presentation materials for application users; and ;- To perform any other duties as assigned by supervisor. ;""",5.0,3.0,"""- Holder of a degree awarded by a university in Hong Kong or a degree awarded by an overseas education institution to a Hong Kong resident, or equivalent;;- The degree shall be related to Geo-informatics, Geomatics Engineering, Geographic Information Science, Computer Science, Information Engineering, Information Technology or equivalent;;- Solid knowledge and experience system design and development of web and mobile GIS systems.;- Have at least 5 years post qualification information technology experience of which 3 years in the similar capacity;;- Possessing strong sense of analytical and problem solving skills; and;- Good command of both spoken and written Chinese and English.;;Preference may be given to candidates who have:;- Good knowledge and project experience in GIS software. ;Technical Skills: ;. At least 3 years' experience in Client/Server Application Development (C/S); ;. At least 3 years' experience in Geographic Information System (GIS); ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in Multi-tier System Integration (MSI); ;. At least 3 years' experience in Web Services (WSV); ;. 1 year's experience in Huawei VRP & Huawei Products (HAU) is an advantage. ;Non-technical Skill: ;. At least 3 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33650"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIS,,,GOV,,,,,HAU,,,,,,,,,,,,,,,,,,,,,,,,,,JAP,,,,,,,,,,,,,,,,,,,MSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSV,,,,,,,,,,,,,,,,,,,
