33774,Contract Systems Analyst (Bid Ref 54133-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Development, Maintenance and Support of IT Systems for the Land Registry (LR)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- This is a project-based post;;- To perform application development of in-house and Internet facing applications;;- To participate in the development and maintenance of IT systems to support the business and operation of the LR;;- To conduct quality review and system tests on technical products;;- To coordinate and assist users in the conduct of user acceptance tests;;- To coordinate and assist in the system deployment and rollout;;- To perform impact analysis for the system enhancements / changes;;- To handle system incidents and assist in online service resumption; and;- To provide IT support to the future operation of title registration including analysis of land records. ;""",6.0,2.0,"""- Good verbal and written communication skills in both English and Chinese;;- Solid hands-on experience in developing bilingual web application systems under UNIX/Oracle/Visual Basic/J2EE environment;;- Solid hands-on experience in EJB3 application development;;- Good analytical skills and able to work independently;;- Good business knowledge on land registration and/or real estate related information systems;;- May require working in other LR offices within HK territory and outside normal office hours (including;Saturday, Sunday and Public Holiday); and;- Provide 7x24 on-call production system support. ;Technical Skills: ;. At least 4 years' experience in JAVA Programming (JAV); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in .Net Development (NDE); ;. At least 1 year's experience in Enterprise Java Beans Development (EJB); ;. At least 1 year's experience in FileNet (FLN); ;. 6 months' experience in Java Application Framework (e.g. Struts (Apache)) (JAF) is an advantage; ;. 6 months' experience in C++ (C++) is an advantage; ;. 6 months' experience in Chinese Processing (CHI) is an advantage; ;. 6 months' experience in Oracle RDBMS (ODB) is an advantage; ;. 6 months' experience in SQL*PLUS/PL/SQL/PRO*C (OPL) is an advantage; ;. 6 months' experience in UNIX (UNX) is an advantage; ;. 6 months' experience in Visual Basic (VBC) is an advantage; ;. 6 months' experience in WebLogic Server Administration (WLG) is an advantage; ;. 6 months' experience in Web Services (WSV) is an advantage; ;. 6 months' experience in XML (XML) is an advantage. ;Non-technical Skills: ;. Good written English is a must; ;. 6 months' experience in quality assurance (QAS) is an advantage; ;. 6 months' experience in work with the Government (GOV) is an advantage; ;. 6 months' experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33774"")",,,,,,,,,,,,,,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLN,,,,,,GOV,,,GSS,,,,,,,,,,,,,,,,,,,JAF,,,JAV,,,,,,,,,,,,,,,,,,,,,,NDE,,,,,ODB,,,OPL,,,,,,,,,,,,,,,,,,,,QAS,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,UNX,,,,,,,,,,,,,,,,,,,,WSV,XML,,,,,,EJB,,,,,,,,,,,,VBC,,WLG
33791,Contract Senior Systems Analyst (Bid Ref 54193-1),1,1,Others,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Implementation of IT systems and providing support for major computer systems of LR.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- To assist the supervisor to lead a team of IT staff including the computer operations team in the data centre, and work collaboratively with other IT teams and external contractors to deliver on-going maintenance and support to the IT systems;;- To provide technical support on Windows Servers and Security Patch Management, TrendMicro, Endpoint Central, Interactive Voice Response System (IVRS), Voice Recording System (VRS) and telephone systems for LR&;#8217;s help desk operations;;- To provide operation support regarding ad hoc batch job scheduling for users, report and interface file requests, document imaging and quality checking and procedure documents writing and quality review, and contract managements such as oversized plan scanning and printing services;;- To provide technical desktop support to LR users including service change and problem management, CMMP, and application client configuration and production deployment;;- To manage the technical help desk for LR users and customers using the IRIS Online Services of the LR;;- To manage and perform regular security / account privilege review and password administration;;- To prepare tenders and administer the IT procurement; and;- To perform any other duties assigned by the supervisor. ;""",12.0,6.0,"""- Solid hands-on experience in Windows server configuration and administration, Active Directory (AD) administration, TrendMicro, Endpoint Central, and system management of Interactive Voice Response System (IVRS) and Voice Recording System (VRS);;- Solid hands-on experience in government procurement process, desktop support and application and system patch deployment;;- Solid experience in supporting call centre and document imaging operations;;- Familiar with Windows server and workstation management; ;- Excellence in negotiation, communication and presentation skills with good command of written and spoken English and Chinese;;- Good analysis and procedure writing skills;;- Good helpdesk call handling and problem resolution technique;;- May have to work in other LR offices within Hong Kong territory and outside normal office hours (including Saturday, Sunday and Public Holiday); and;- Require 7 x 24 on-call. ;Technical Skills: ;. At least 5 years' experience in IT Operational Management (OPM); ;. At least 5 years' experience in PC LAN Support (PLS); ;. At least 5 years' experience in Windows Server 2008/2012 (W12); ;. 3 years' experience in Windows Programming (WPG) is an advantage; ;. 3 years' experience in Disaster Recovery Planning (DRP) is an advantage; ;. 3 years' experience in FileNet (FLN) is an advantage; ;. 3 years' experience in Imaging (IMG) is an advantage; ;. 3 years' experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. At least 5 years' experience in Government procurement/disposal procedures (GPD); ;. At least 5 years' experience in IT service/outsourcing management (OUT); ;. 3 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 3 years' experience in helpdesk call handling (HDT) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 12 years' post-qualification experience in which at least 6 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33791"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRP,,,,,,,,,,,FLN,,,,,,,GPD,,GSS,,,,,,,,,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPM,,,,OUT,,,,,,,,PLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WPG,,,,,,,,,HDT,,,,IMG,IVRS,,,,,,,VRS,
33782,Contract Systems Analyst (Bid Ref 54175-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Implementation of IT Systems and providing application support for LR""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- To perform application development and maintenance and provide 7 x 24 on-call support of IT systems.;- To perform impact analysis and implement enhancements and software upgrades.;- To conduct quality review, conduct system testing, support user acceptance test and production release, etc.;- To perform any other duties assigned by supervisor. ;""",5.0,2.0,"""- Solid hands-on experience in large-scale application development projects, especially for land registration or land conveyancing business.;- Hands-on experience in .NET and J2EE application development.;- Good command of written English and Chinese. ;Technical Skills: ;. At least 2 years' experience in Enterprise Java Beans Development (EJB); ;. At least 2 years' experience in J2EE Development (JDE); ;. At least 2 years' experience in SQL*PLUS/PL/SQL/PRO*C (OPL); ;. At least 2 years' experience in Structured Query Language (SQL); ;. 2 years' experience in FileNet (FLN) is an advantage; ;. 2 years' experience in C++ (C++) is an advantage. ;Non-technical Skill: ;. At least 2 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33782"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLN,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJB,,,,,,,,,,,,,,
33764,Contract Systems Analyst (Bid Ref 54106-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Implementation of IT systems and providing application support for LR.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- This is a project-based post.;- To perform J2EE application development and maintenance and provide 7 x 24 on-call support for IT systems. ;- To perform impact analysis and implement enhancements and software upgrades.;- To conduct quality review, conduct system testing, support user acceptance test and production release, etc.;- To perform any other duties assigned by supervisor. ;""",5.0,2.0,"""- Solid hands-on experience in large-scale application development projects, especially for land registration or land conveyancing business. ;- Hands-on experience in workflow application development.;- Good command of written English and Chinese. ;Technical Skills: ;. At least 2 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 2 years' experience in Enterprise Java Beans Development (EJB); ;. At least 2 years' experience in J2EE Development (JDE); ;. At least 2 years' experience in Structured Query Language (SQL); ;. 2 years' experience in Visual Basic (VBC) is an advantage; ;. 2 years' experience in C++ (C++) is an advantage. ;Non-technical Skill: ;. At least 2 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33764"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOC,,EJB,,,,,,,,,,,,VBC,,
33776,Contract Systems Analyst (Bid Ref 54164-1),1,1,Others,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Development, Maintenance and Support of IT Systems for the LR""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- To participate in the development and maintenance of IT systems to support the business and operation of the LR;;- To conduct quality review and system tests on technical products;;- To coordinate and assist users in the conduct of user acceptance tests;;- To coordinate and assist in the system deployment and rollout;;- To perform impact analysis for the system enhancements / changes;;- To handle system incidents and assist in online service resumption; and;- To provide IT support to the future operation of title registration including analysis of land records. ;""",8.0,6.0,"""- Good verbal and written communication skills in both English and Chinese;;- Solid hands-on experience in developing bilingual web application systems under UNIX/Oracle/Visual Basic/J2EE environment;;- Good analytical skills and able to work independently;;- May require working in other LR offices within HK territory and outside normal office hours (including;- Saturday, Sunday and Public Holiday); and;- Provide 7x24 on-call production system support. ;Technical Skills: ;. At least 4 years' experience in JAVA Programming (JAV); ;. At least 4 years' experience in J2EE Development (JDE); ;. At least 4 years' experience in Visual Basic (VBC); ;. At least 4 years' experience in Structured Query Language (SQL); ;. 6 months' experience in UNIX (UNX) is an advantage; ;. 6 months' experience in WebLogic Server Administration (WLG) is an advantage; ;. 6 months' experience in Web Services (WSV) is an advantage; ;. 6 months' experience in XML (XML) is an advantage; ;. 6 months' experience in Oracle RDBMS (ODB) is an advantage; ;. 6 months' experience in SQL*PLUS/PL/SQL/PRO*C (OPL) is an advantage; ;. 6 months' experience in Client/Server Application Development (C/S) is an advantage; ;. 6 months' experience in C++ (C++) is an advantage; ;. 6 months' experience in Chinese Processing (CHI) is an advantage; ;. 6 months' experience in Enterprise Java Beans Development (EJB) is an advantage; ;. 6 months' experience in FileNet (FLN) is an advantage; ;. 6 months' experience in HTML version before HTML5 (HTM) is an advantage; ;. 6 months' experience in Java Application Framework (e.g. Struts (Apache)) (JAF) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in project development in specified business areas (PDE); ;. 6 months' experience in quality assurance (QAS) is an advantage; ;. 6 months' experience in work with the Government (GOV) is an advantage; ;. 6 months' experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 6 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33776"")",,,,,,,,,,,,,,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLN,,,,,,GOV,,,GSS,,,,HTM,,,,,,,,,,,,,,,JAF,,,JAV,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,OPL,,,,,,PDE,,,,,,,,,,,,,,QAS,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,UNX,,,,,,,,,,,,,,,,,,,,WSV,XML,,,,,,EJB,,,,,,,,,,,,VBC,,WLG
31427,Contract Systems Analyst (Bid Ref 52793-3),3,1,Application Development,Contract,09 Apr 2025,02 May 2025 to 31 Dec 2025 (7 months),under InfoTech,Government T26 Contract,"Tai Wai, Shatin",N/A - N/A,"""(T26) System implementation and support of web application systems in EDB.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the EDB; ;Conduct system analysis & design and technical study; ;Prepare system and project documentation; ;Project coordination and system implementation. ;""",8.0,6.0,"""At least 8 years of post-qualification experience of which a minimum of 6 years in web application systems. ;At least 3 years in education related projects. ;Technical Skills: ;. At least 5 years' experience in JAVA Programming (JAV); ;. At least 5 years' experience in Structured Query Language (SQL); ;. At least 4 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 4 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in JavaServer Faces (JSF) (JSF); ;. At least 3 years' experience in Crystal Report (CRE). ;Non-technical Skill: ;. At least 1 year's experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 6 years' relevant experience in a similar post and in a comparable capacity.""",N/A,26 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=31427"")",,,,,,,,,,,,,,,,,,,,CRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,JAF,JAP,,JAV,,JSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31971,Contract Systems Analyst (Bid Ref 53103-2),2,1,Others,Contract,09 Apr 2025,12 May 2025 to 31 Dec 2025 (7 months),under InfoTech,Government T26 Contract,Wanchai,N/A - N/A,"""(T26) To assist the manager in supporting and managing the operation and infrastructure of the Electronic System for Cargo Manifests (EMAN) of the Government Electronic Trading Services (GETS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;- To provide infrastructure support services for EMAN including workstations, gateways, networks, servers, SAN, storage, database, hypervisors, virtual machines and IT security; ;- To monitor and assist the operation team in daily data center operation and to ensure the quality of the operation services for EMAN; ;- To study requirements and prepare specifications for procurement of hardware, software and maintenance services for EMAN; ;- To analyse and recommend enhancements to cope with new business requirements and technology obsolescence; ;- To work with the contractors in implementing security measures and applying security patches on EMAN; ;- To manage the service contractor in meeting the service level of EMAN; and ;- To perform tasks assigned by the line manager. ;""",4.0,1.0,"""- At least four years of post-qualification IT experience, including at least one year of experience in system implementation; and ;- Criminal record checking is required. ;Technical Skills: ;. At least 2 years' experience in IT Security (ITS); ;. At least 2 years' experience in Linux System Administration (LIN); ;. At least 2 years' experience in Network Design (NDN); ;. At least 2 years' experience in Storage Area Network (SAN); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. 2 years' experience in Oracle RDBMS (ODB) is an advantage. ;Non-technical Skill: ;. 1 year's experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,01 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=31971"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSS,,,,,,,,,,,,,,,,,ITS,,,,,,,,,,,LIN,,,,,,,,,,,,,,,,,NDN,,,,ODB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33783,Contract Systems Analyst (Bid Ref 54177-1),1,1,Others,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Implementation of IT Systems and providing technical support for major computer systems of the LR""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- To maintain reliable and effective services of a system infrastructure of Solaris & Windows servers, NetApp and StoreOnce storage;;- To administer a suite of system management software including Solaris Virtualization, VMware Sphere / ESXi Server, Veeam Backup and Veritas NetBackup;;- To monitor the health and performance of the system infrastructure and perform necessary tuning and troubleshooting;;- To perform capacity planning and disaster recovery drill of the system infrastructure;;- To maintain documentation of the infrastructure;;- To prepare operation procedures and support computer operators in daily IT operations; ;- To manage vendor for IT service delivery; and;- To perform any other duties assigned by supervisors. ;""",12.0,7.0,"""- Must have at least 5 years of VMWare support experience;;- Solid hands-on experience in Solaris, VMware, Windows system administration, Veeam Backup and Veritas NetBackup;;- Hands-on experience in administration of NetApp storage and StoreOnce storage;;- Good command of written English and Chinese;;- Experience in vendor management and site preparation; and;- Provide 7 x 24 on-call production system support. ;Technical Skills: ;. At least 5 years' experience in Server Virtualisation Technology (SVT); ;. At least 5 years' experience in UNIX System Administration (UNA); ;. At least 5 years' experience in Windows Server 2008/2012 (W12). ;Non-technical Skills: ;. At least 3 years' experience in work with the Government (GOV); ;. At least 3 years' experience in the management and support of Government systems and services (GSS); ;. At least 3 years' experience in IT procurement (PRO); ;. 6 months' experience in site preparation (SPE) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 12 years' post-qualification experience in which at least 7 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33783"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRO,,,,,,,,,,,,,,,,,,SPE,,,,,,SVT,,,,,,UNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33775,Contract Senior Systems Analyst (Bid Ref 54134-1),1,1,Others,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Upgrade and Maintenance of Land Registry&;#8217;s Departmental Network.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- To administer and support the network infrastructure of LR and its major IT systems, including Juniper network routers, network switches, Foritgate next generation firewalls, Authenticator, DNS servers, proxy server, Ivanti SSL-VPN, F5 link controllers and F5 application load balancers, F5 web application firewalls, Splunk, EG monitoring system, SD-WAN infrastructure and etc;;- To configure, install, monitor, maintain and trouble-shoot popular network operating systems, network equipment and networking software;;- To maintain the documentation of the network infrastructure; and;- To perform any other duties assigned by the supervisor;;- Require 7 x 24 on-call; and;- Need to work outside office hours to provide support. ;""",10.0,8.0,"""- Solid hands-on experience in administering enterprise level network with experience in network design and implementation of LR&;#8217;s application systems with Dedicated Internet Access and SD-WAN network support; ;- Experience in domain name setup, registration process of gov.hk domain name and familiar with DNS resolve mechanism from top level domain to clients.;- Strong system support experience;;- Good command of written English and Chinese; and;- Have solid experience in government procurement and vendor management. ;Technical Skills: ;. At least 7 years' experience in CISCO IOS Software & CISCO Products (CIP); ;. At least 7 years' experience in Internet Firewall Technical Support (IFW); ;. At least 7 years' experience in Intrusion Prevention System (IPS); ;. At least 7 years' experience in Virtual LAN/LAN Switching (VLS); ;. 5 years' experience in Virtual Private Network (VPN) is an advantage; ;. 5 years' experience in Wide Area Network (WAN) is an advantage. ;Non-technical Skills: ;. At least 7 years' experience in work with the Government (GOV); ;. At least 7 years' experience in the management and support of Government systems and services (GSS); ;. At least 7 years' experience in IT procurement (PRO); ;. 5 years' experience in site preparation (SPE) is an advantage; ;. 5 years' experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 8 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33775"")",,,,,,,,,,,,,,,CIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,GSS,,,,,,IFW,,,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRO,,,,,,,,,,,,,,,,,,SPE,,,,,,,,,,,,,,,,VLS,VMG,VPN,,,WAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33789,Contract Senior Systems Analyst (Bid Ref 54191-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Development, Maintenance and Production Support of IT Systems for the LR""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- This is a project-based post;;- To review and identify the appropriate application frameworks, libraries, tools, programming standards and other technologies fit for use in the development of large scale IT systems;;- To plan, coordinate and participate in the system development, system tests, user acceptance test, user training, documentation, system deployment and rollout of IT systems;;- To liaise with end users and perform impact analysis for the system enhancements/changes;;- To coordinate and manage vendors to deliver IT services; ;- To provide IT support to the future operation of title registration including analysis of land records; and;- To carry out any other duties assigned by the supervisor. ;""",8.0,4.0,"""- Good in verbal and written communication in both English and Chinese;;- Solid hands-on experience in large-scale application development projects, especially for land registration or land conveyancing business;;- Solid hands-on experience in EJB3 application development;;- Self-motivated and be able to work independently; and;- May need to work in other LR offices within HK territory and outside normal office hours (including Saturday, Sunday and Public Holiday). ;Technical Skills: ;. At least 4 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 4 years' experience in J2EE Development (JDE); ;. At least 4 years' experience in Oracle RDBMS (ODB); ;. At least 4 years' experience in Structured Query Language (SQL); ;. 6 months' experience in UNIX (UNX) is an advantage; ;. 6 months' experience in Web Programming (WEB) is an advantage; ;. 6 months' experience in Rapid Application Development Methodology (RAD) is an advantage; ;. 6 months' experience in JavaServer Faces (JSF) (JSF) is an advantage; ;. 6 months' experience in Imaging (IMG) is an advantage; ;. 6 months' experience in JAVA Programming (JAV) is an advantage. ;Non-technical Skills: ;. Good written English is a must; ;. Good coordination skills is an advantage; ;. 6 months' experience in managing Government projects (MGP) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33789"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,JDE,JSF,,,,,,,,,,,MGP,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,,,,,,,,,,,,,RAD,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,UNX,,,,,,,,,,,WEB,,,,,,,,,,,,,,DOC,,,,,,,IMG,,,,,,,,,
33786,Contract Systems Analyst (Bid Ref 54182-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Development, Maintenance and Support of IT Systems for the Land Registry (LR)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- This is a project-based post;;- To perform J2EE application development of in-house and Internet facing applications;;- To participate in the development and maintenance of IT systems to support the business and operation of the LR;;- To conduct quality review and system tests on technical products;;- To coordinate and assist users in the conduct of user acceptance tests;;- To coordinate and assist in the system deployment and rollout;;- To perform impact analysis for the system enhancements / changes;;- To handle system incidents and assist in online service resumption; and;- To provide IT support to the future operation of title registration including analysis of land records. ;""",6.0,2.0,"""- Good verbal and written communication skills in both English and Chinese;;- Solid hands-on experience in developing bilingual web application systems under UNIX/Oracle/J2EE environment;;- Solid hands-on experience in EJB3 application development;;- Good analytical skills and able to work independently; ;- May require working in other LR offices within HK territory and outside normal office hours (including Saturday, Sunday and Public Holiday); and ;- Provide 7x24 on-call production system support. ;Technical Skills: ;. At least 5 years' experience in JAVA Programming (JAV); ;. At least 3 years' experience in .Net Development (NDE); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in Enterprise Java Beans Development (EJB); ;. At least 1 year's experience in Document Flow/Workflow Management System (DOC); ;. 6 months' experience in C++ (C++) is an advantage; ;. 6 months' experience in Java Application Framework (e.g. Struts (Apache)) (JAF) is an advantage; ;. 6 months' experience in UNIX (UNX) is an advantage; ;. 6 months' experience in Visual Basic (VBC) is an advantage; ;. 6 months' experience in Oracle RDBMS (ODB) is an advantage. ;Non-technical Skills: ;. Good written English is a must; ;. 6 months' experience in quality assurance (QAS) is an advantage; ;. 6 months' experience in work with the Government (GOV) is an advantage; ;. 6 months' experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33786"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,GSS,,,,,,,,,,,,,,,,,,,JAF,,,JAV,,,,,,,,,,,,,,,,,,,,,,NDE,,,,,ODB,,,,,,,,,,,,,,,,,,,,,,,QAS,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,UNX,,,,,,,,,,,,,,,,,,,,,,,,,DOC,,EJB,,,,,,,,,,,,VBC,,
