33930,Contract Senior Systems Analyst (Bid Ref 54350-1),1,1,Others,Contract,02 May 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,Kowloon City and TID DR sites,N/A - N/A,"""(T26) The project is to provide on-going support to the IT network and security infrastructure at production site and DR site, Internet gateway, miscellaneous Wide Area Network (WAN) connections, management of outsource contractor of the Department, provide advice to application project teams from the IT network and security infrastructure perspective and enhance the IT network and security infrastructure to meet the business needs.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the TID; ;- To provide on-going support to the IT network and security infrastructure at production site and DR site, Internet gateway, WAN connections;- To manage outsource contractors of the Department for IT network and security infrastructure related project;- To provide advice to application support teams from IT network and security infrastructure perspective;- To implement the IT network and security infrastructure configurations to cope with the needs according to the latest business development ;- To enhance the IT network and security infrastructure to meet the business needs;- To maintain the IT network infrastructure related documents;- To evaluate new solutions of IT network and security infrastructure for the potential usage by the Department ;""",8.0,4.0,"""Candidates must have a leading role and solid experience in designing, implementing, and managing Government IT network and security infrastructure. Solid experience in network project management, design, system management, and knowledge of Government tender and procurement regulations and procedures is required.;;Experience with detailed configuration of H3C 12500, 9850, 6850, 5560 series; Cisco Nexus 7000, 5000, 2000 series; Cisco Identity Service Engine; Cisco Wireless Controller; Fortigate firewall; CheckPoint firewall; F5 BigIP LTM; and VMware is a must.;;The successful candidate will be required to work overtime according to business needs. Over-the-phone support or consultation after office hours is also required. ;Technical Skills: ;. At least 8 years' experience in Network Design (NDN); ;. At least 8 years' experience in Network & System Management (NSM); ;. At least 8 years' experience in Wide Area Network (WAN); ;. 8 years' experience in Virtual LAN/LAN Switching (VLS) is an advantage; ;. 8 years' experience in Virtual Private Network (VPN) is an advantage; ;. 8 years' experience in Open Shortest Path First (OPF) is an advantage; ;. 8 years' experience in Proxy Server (PRS) is an advantage; ;. 8 years' experience in Security Risk Assessment (SRA) is an advantage; ;. 8 years' experience in Networking (NET) is an advantage; ;. 8 years' experience in Internet Firewall Technical Support (IFW) is an advantage; ;. 8 years' experience in IT Security (ITS) is an advantage; ;. 8 years' experience in Metro Ethernet (MET) is an advantage; ;. 8 years' experience in Metro-Ethernet Network (MNE) is an advantage; ;. 8 years' experience in Checkpoint Firewall Administration (CFA) is an advantage; ;. 8 years' experience in CISCO IOS Software & CISCO Products (CIP) is an advantage; ;. 8 years' experience in Ethernet (ETH) is an advantage; ;. 7 years' experience in Disaster Recovery Planning (DRP) is an advantage; ;. 7 years' experience in Microsoft Active Directory Administration (ADA) is an advantage; ;. 7 years' experience in Anti-Virus Technology (AVT) is an advantage; ;. 7 years' experience in Border Gateway Protocol (BGP) is an advantage; ;. 7 years' experience in Broadband Network (BNE) is an advantage; ;. 7 years' experience in Infrastructure (INF) is an advantage; ;. 7 years' experience in Internet/ Intranet (INT) is an advantage; ;. 7 years' experience in Server Virtualisation Technology (SVT) is an advantage; ;. 7 years' experience in TCP/IP (TCP) is an advantage; ;. 7 years' experience in Router Configuration (ROU) is an advantage; ;. 7 years' experience in System Implementation and Maintenance/Support (SIM) is an advantage; ;. 7 years' experience in Open View (OPV) is an advantage; ;. 7 years' experience in PC LAN Support (PLS) is an advantage; ;. 7 years' experience in Wireless Technology (WLT) is an advantage; ;. 5 years' experience in Mobile / Wireless Communication (MWC) is an advantage; ;. 5 years' experience in Anti-Spam Technology (AST) is an advantage; ;. 5 years' experience in Authentication Server (AUS) is an advantage; ;. 5 years' experience in Huawei VRP & Huawei Products (HAU) is an advantage; ;. 3 years' experience in Wireless and Mobile (WLM) is an advantage. ;Non-technical Skills: ;. At least 8 years' experience in work with the Government (GOV); ;. At least 8 years' experience in Government tendering procedures (GTP); ;. 7 years' experience in managing Government projects (IEG) is an advantage; ;. 7 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 7 years' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 7 years' experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33930"")",ADA,,,AST,AUS,AVT,,,,BGP,,,BNE,,,,,CFA,,CIP,,,,,,,,,,,,,,,,DRP,,,,,,,,,,ETH,,,GOV,GPD,GSS,GTP,,,HAU,,,,,,IEG,IFW,,INF,INT,,,,,,,,,ITS,,,,,,,,,,,,,,,MET,,,MNE,,,,,MWC,NDN,,NET,NSM,,,,,,,,,,OPF,,,OPV,OUT,,,,,PLS,,,,,,PRS,,,,,,ROU,,,,,,SIM,,,SRA,,,,SVT,,,TCP,,,,,,,VLS,,VPN,,WAN,,,,,,,,WLM,WLT,,,,,
33922,Contract Systems Analyst (Bid Ref 54356-1),1,1,Others,Contract,02 May 2025,15 May 2025 to 31 Aug 2025 (3 months),under InfoTech,Government T26 Contract,Taikoo,N/A - N/A,"""(T26) On-going Support of Computerised Social Security System II (CSSS-II) for the Social Welfare Department""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the SWD; ;This officer will be responsible for providing on-going support to the maintenance and enhancements on the PC LANs of the CSSS-II which is a mission critical system. The duties include: ;(1) To perform technical support for CSSS-II PC LANs, user workstations and accessories; ;(2) To provide technical support and coordination for large scale PC replacement; ;(3) To provide technical advices and recommendation in relation to the on-going maintenance and enhancements of the PC LANs; ;(4) To liaise with SWD counterparts and services contractors of the Government for on-going maintenance and enhancement tasks related to PC LANs and to assure the quality of project deliverables; ;(5) To coordinate and monitor site preparation and network cabling for user office relocation; ;(6) To prepare and maintain documents such as technical document, computer facilities installation records and inventory records of various offices of CSSS-II; ;(7) Shall require to work in various user offices including Social Security Field Units and Centralised Units (within Hong Kong territories); and ;(8) To perform on call support duties. ;""",5.0,2.0,"""(1) The candidate must have solid experience in : ;- Windows 10 and OA software installation, configuration and support; ;- PC LAN administration and support; ;- liaison with hardware, software and services contractors of the of the Government; and ;- site preparation and network cabling for Government offices. ;(2) Working experience in social security offices is preferred. ;Technical Skills: ;. At least 3 years' experience in Office Automation (OAN); ;. At least 3 years' experience in PC LAN Support (PLS); ;. At least 3 years' experience in Windows 7/8/10 (W10); ;. 1 year's experience in Infrastructure (INF) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in work with the Government (GOV); ;. At least 1.5 years' experience in site preparation (SPE); ;. 1 year's experience in customer service (CLS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33922"")",,,,,,,,,,,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,INF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAN,,,,,,,,,,,,,,,,,PLS,,,,,,,,,,,,,,,,,,,SPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33898,Contract Senior Systems Analyst (Bid Ref 54296-1),1,1,Others,Contract,29 Apr 2025,03 Jun 2025 to 02 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Sham Shui Po,N/A - N/A,"""(T26) This is a CSSA position responsible for providing client advisory support on e-payment system of Government Cloud Infrastructure Services (GCIS) for both web based and mobile application.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The post provides technical support and client liaison to the end users from Government B/Ds using e-payment system of Government private cloud services. The major job duties include:;(a) To provide technical support of GCIS e-payment system on both web based and mobile applications;(b) To provide client advisory support for GCIS e-payment service to B/D users;(c) To assist in application support on ongoing enhancement of GCIS e-payment system;(d) To provide client communications and advisory support for the systems that use e-payment services, including Faster Payment System (FPS), credit card and digital wallet;(e) To assist in software testing management including acceptance testing and validation of project deliverables;(f) To carry out other project related duties as designated by the supervisors ;""",6.0,2.0,"""(a) Candidate should have experience in mobile application development;(b) Candidate should have experience in web service;(c) Candidate should have experience in Java programming;(d) Candidate should have experience in GCIS PaaS (EGIS formerly);(e) Candidate should have experience in client support and advisory service ;Technical Skills: ;. At least 2 years' experience in EGIS (EGI); ;. At least 2 years' experience in JAVA Programming (JAV); ;. At least 2 years' experience in Wireless and Mobile (WLM); ;. At least 2 years' experience in Web Services (WSV). ;Non-technical Skill: ;. At least 2 years' experience in customer service (CLS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33898"")",,,,,,,,,,,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,,,EGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WLM,,,,WSV,,
33940,Contract Project Manager (Bid Ref 54384-1),1,1,Others,Contract,02 May 2025,01 Jun 2025 to 30 Sep 2025 (3 months),under InfoTech,Government T26 Contract,Homantin,N/A - N/A,"""(T26) System Implementation of IT application system of the Housing Department""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;The CPM will be required to:;1. manage the delivery of all IT activities in the system development and maintenance cycle as well as procurement of IT equipment and services;;2. mainly perform the project management for development of web application system for Counterparty Management Information System: ;(a) to lead the development team to carry out the activities in system development life cycles including requirement collection and feasibility studies, system analysis & design, development, testing and implementation;;(b) to manage and facilitate team members in liaison with end-users, vendors and internal IT teams throughout the project;;(c) to assist in problem solving in business and technical aspects; and;3. perform other project-related duties as designated by the supervisor. ;""",15.0,5.0,"""1. Meet the mandatory requirements stipulated in the Skill and Experience Section;;2. Possess IT project management skills for application development and implementation; ;3. Have extensive experience in Web Application development; ;4. Have extensive experience in IT security, quality management and risk management; and ;5. Have good analytical skills, communication and interpersonal skills. ;Technical Skills: ;. At least 10 years' experience in IT Application Development and Management (ADM); ;. At least 5 years' experience in J2EE Development (JDE); ;. At least 5 years' experience in PRINCE (PRE); ;. At least 5 years' experience in System Implementation and Maintenance/Support (SIM). ;Non-technical Skills: ;. At least 10 years' experience in work with the Government (GOV); ;. Excellent written English is a must; ;. At least 2 years' experience in IT procurement (PRO); ;. At least 2 years' experience in quality assurance (QAS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 15 years' post-qualification experience in which at least 5 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33940"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRE,,PRO,,QAS,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33059,Contract Systems Analyst (Bid Ref 53561-2),2,1,Others,Contract,29 Apr 2025,26 May 2025 to 15 Mar 2026 (9 months),under InfoTech,Government T26 Contract,Cyberport,N/A - N/A,"""(T26) Support the inventory management, contract management and capacity planning of the Government Cloud Infrastructure Services (GCIS)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;This post is responsible for the inventory management, contract management and project management and of GCIS contract ;- Take part in the project administration and contractor management for GCIS ;- Provide operation support for the inventory management of hardware and software of GCIS ;- Work with client advisory team, technical team and GCIS contractors to support GCIS operation, multiple tenants and to assist in annual capacity planning for GCIS ;""",4.0,1.0,"""- Knowledge and experience in cloud computing technologies including server virtualisation, security, etc. ;- Experience in inventory management ;- Experience in contract administration ;- ITIL certification is preferred ;- Competent communication skills, both verbal and written, and interpersonal skills ;- Experience in acceptance of IT infrastructure project deliverables preferred ;- Strong analytical mind and problem solving techniques ;- Knowledge in government procurement procedures is an advantage ;Technical Skills: ;. At least 2 years' experience in Infrastructure (INF); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. At least 1 year's experience in IT Security (ITS); ;. At least 1 year's experience in IT Operational Management (OPM); ;. 6 months' experience in Storage Area Network (SAN) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in contract administration (CON); ;. 6 months' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 6 months' experience in customer service (CLS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33059"")",,,,,,,,,,,,,,,,,,,,,,,,CLS,,,CON,,,,,,,,,,,,,,,,,,,,,,,GPD,,,,,,,,,,,,,,INF,,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPM,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33955,Contract Systems Analyst (Bid Ref 54399-1),1,1,Application Development,Contract,06 May 2025,15 May 2025 to 31 Oct 2025 (5 months),under InfoTech,Government T26 Contract,"Homantin, Kowloon",N/A - N/A,"""(T26) New System Development""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;- To design and setup infrastructure in Government Cloud Infrastructure Services (GCIS); ;- To perform system analysis & design, development and testing; ;- To perform any other tasks as assigned by supervisors. ;""",6.0,2.0,"""- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- Possess the following skills and hands-on experience: ;. At least 2 years of experience as Systems Analyst and 6 years of experience in IT; ;. Solid experience in GCIS; ;. Solid experience in SQL; ;. Solid experience in Linux System Administration。 ; ;Technical Skills: ;. At least 3 years' experience in Linux System Administration (LIN); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in EGIS (EGI). ; ;Non-technical Skill: ;. At least 2 years' experience in work with the Government (GOV). ; ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,3978 8022,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33955"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGI,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33953,Contract Systems Analyst (Bid Ref 54360-1),1,1,Others,Contract,06 May 2025,02 Jul 2025 to 27 Feb 2026 (7 months),under InfoTech,Government T26 Contract,"Tseung Kwan O, Wanchai and occasionally provide support at Immigration sites.",N/A - N/A,"""(T26) Application support and enhancement on the Computer Output Management System (COMS-2) and Operations Intelligence System (OPIS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ImmD; ;- To carry out various enhancement and subsequent 7x24 on-call support on COMS-2 and OPIS which include: ; . Provide technical support and problem diagnosis for the COMS-2 and OPIS; ; . Provide production maintenance support of system infrastructure and application; ; . Provide IT advice and evaluate technical solutions and perform analysis for the enhancement support; ; . Provide IT advice and monitor performance of contractors on maintenance of COMS-2 and OPIS; ; . Provide enhancement support of OPIS system for new statistical reports compilation; ; . Provide support on storage upgrade for existing COMS-2 and tidying up of COMS-2 equipment areas in Wan Chai after relocation exercise; ; . Perform study for the next generation of COMS-2; ; . Execute and assure the proper change management; and ; . Other duties assigned by supervisor. ;""",4.0,1.0,"""The candidate shall possess the following essential technical skills: ;- Solid experience in administrating various operation system including Linux and Windows; ;- Hands-on experience in configuring various IBM Tivoli components including TEC, ITM, Netview, TSM, and other system components such as Hyper-V, Nagios and Veeam; ;- Solid experience in supporting the application for content and reporting management; and ;- Good communication skills and vendor management skills; ;- At least 2 years' experience in IT security, Linux system administration, SAN and Windows Server 2008/2012; ;- Good coordination skills is a must; ;- Criminal record check will be required. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,3978 8032,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33953"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33927,Contract Senior Systems Analyst (Bid Ref 54346-1),1,1,Others,Contract,02 May 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,Kowloon City and TID DR sites,N/A - N/A,"""(T26) The project is to provide on-going support to the IT security infrastructure, network infrastructure, management of outsource contractor of the Department, provide advice to application project teams from the IT security perspective and arrange IT security awareness training.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the TID; ;- To design, implement and provide on-going support to the security and network infrastructure of the Department;- To provide advice to application support teams for implementation of security measures compiling with prevailing security regulations and guidelines;- To carry out security risk assessment and audit exercise;- To arrange security awareness training for the Department;- To strengthen the Department's security measures against latest IT security attacks;- To update application support teams on latest security issues;- To maintain the IT security related documents;- To manage outsource contractors whom are providing on-going support to several internal application systems;- To provide on-going support to the Departmental Portal system on the New_OSDP II platform. ;""",8.0,4.0,"""Candidates must have leading role and hands on experiences in implementing security infrastructure. They must be knowledgeable and experienced in designing/implementing security infrastructure, managing security devices as well as Government procurement regulations and procedures. Holder of CISSP, CISA and CISM certification will be advantageous. Successful candidate will be required to work overtime according to the business needs. Over the phone support or consultation after office hour is required. ;Technical Skills: ;. At least 8 years' experience in IT Security (ITS); ;. At least 8 years' experience in Network & System Management (NSM); ;. At least 7 years' experience in Security Risk Assessment and Audit (SAA); ;. At least 7 years' experience in Departmental Portal (DPS); ;. 8 years' experience in Checkpoint Firewall Administration (CFA) is an advantage; ;. 8 years' experience in CISCO IOS Software & CISCO Products (CIP) is an advantage; ;. 8 years' experience in Internet Firewall Technical Support (IFW) is an advantage; ;. 8 years' experience in Virtual LAN/LAN Switching (VLS) is an advantage; ;. 8 years' experience in Virtual Private Network (VPN) is an advantage; ;. 8 years' experience in Open Shortest Path First (OPF) is an advantage; ;. 8 years' experience in Networking (NET) is an advantage; ;. 7 years' experience in Network Design (NDN) is an advantage; ;. 7 years' experience in Information Security Management (ISM) is an advantage; ;. 7 years' experience in IT Planning (ITP) is an advantage; ;. 7 years' experience in Public Key Infrastructure (PKI) is an advantage; ;. 7 years' experience in Wide Area Network (WAN) is an advantage; ;. 7 years' experience in Security Incident Detection and Handling (SDH) is an advantage; ;. 7 years' experience in System Implementation and Maintenance/Support (SIM) is an advantage; ;. 7 years' experience in IT Security Scanning Tools (SST) is an advantage; ;. 7 years' experience in Infrastructure (INF) is an advantage; ;. 7 years' experience in Data Encryption Technology (DET) is an advantage; ;. 7 years' experience in Linux System Administration (LIN) is an advantage; ;. 7 years' experience in Metro-Ethernet Network (MNE) is an advantage; ;. 7 years' experience in Anti-Virus Technology (AVT) is an advantage; ;. 7 years' experience in Border Gateway Protocol (BGP) is an advantage; ;. 5 years' experience in Anti-Spam Technology (AST) is an advantage; ;. 5 years' experience in Authentication Server (AUS) is an advantage; ;. 5 years' experience in Disaster Recovery Planning (DRP) is an advantage; ;. 5 years' experience in e-Leave (ELE) is an advantage; ;. 5 years' experience in Endpoint Security Solutions (ESS) is an advantage; ;. 5 years' experience in Mobile / Wireless Communication (MWC) is an advantage; ;. 5 years' experience in Intrusion Prevention System (IPS) is an advantage; ;. 5 years' experience in Server Virtualisation Technology (SVT) is an advantage; ;. 5 years' experience in Proxy Server (PRS) is an advantage; ;. 3 years' experience in Wireless and Mobile (WLM) is an advantage. ;Non-technical Skill: ;. At least 7 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33927"")",,,,AST,AUS,AVT,,,,BGP,,,,,,,,CFA,,CIP,,,,,,,,,,DET,,,,,DPS,DRP,,,,,,ELE,,,ESS,,,,GOV,,,,,,,,,,,,,IFW,,INF,,IPS,,ISM,,,,,ITP,ITS,,,,,,,,,,LIN,,,,,,,,MNE,,,,,MWC,NDN,,NET,NSM,,,,,,,,,,OPF,,,,,,,,PKI,,,,,,,PRS,,,,,,,SAA,,SDH,,,SIM,,,,,SST,,SVT,,,,,,,,,,VLS,,VPN,,WAN,,,,,,,,WLM,,,,,,
33947,Contract Systems Analyst (Bid Ref 54382-1),1,1,Others,Contract,02 May 2025,02 Jun 2025 to 31 Dec 2025 (6 months),under InfoTech,Government T26 Contract,"Tamar, CGO, Admiralty",N/A - N/A,"""(T26) To provide IT support and advice to the project for enhancement of the system for the Capital Works Resource Allocation Exercise in the TsyB.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the FSTB-TB; ;The CSA will be responsible for providing IT support and advice for the implementation of a computer project related to the enhancement of the system for the capital works resource allocation exercise, which includes various tasks such as submission of proposals by B/Ds, processing, compilation and analysis of data, performance outcome review and generation of statistics, management reports and graphics. ; ;The key duties are as follows: ;1. To take part in, provide support and advice to the enhancement of an existing system including system analysis and design, development, implementation, testing, production rollout, system nursing and maintenance of the system; ;2. To assist in quality control and assurance as well as project management as designated by the project manager; ;3. To support the development of interfaces/functions to extract sensitive data from other systems/sources for uploading to the system; ;4. To support data migration and conversion, batch/housekeeping jobs for backup security controls, etc. as well as user acceptance test; ;5. To coordinate and liaise with project stakeholders from both business and technical aspects, and collaborate with other B/Ds and contractors; ;6. To review and provide IT advice on project deliverables and documentation, and assist to oversee and monitor the performance, progress and issues of contractors; ;7. To execute and ensure proper change management; and ;8. To perform any other duties as may be required. ;""",7.0,2.0,"""1. Solid experience in support of system implementation; ;2. Experience in application development and system integration; ;3. Knowledge and experience in support of resource allocation systems for works projects and report generation tools are preferable; ;4. Good communication and project management skills; and ;5. Able to work independently. ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in Unix/Linux Shell Scripting (ULS); ;. At least 2 years' experience in Visual Basic (VBC); ;. 2 years' experience in Structured Query Language (SQL) is an advantage; ;. 2 years' experience in JAVA Programming (JAV) is an advantage; ;. 2 years' experience in SQL*PLUS/PL/SQL/PRO*C (OPL) is an advantage; ;. 1 year's experience in Data/File Backup Technology (DFT) is an advantage; ;. 1 year's experience in Departmental Portal (DPS) is an advantage; ;. 1 year's experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. At least 3 years' experience in work with the Government (GOV); ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 2 years' experience in managing Government projects (MGP) is an advantage; ;. 2 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 1 year's experience in IT procurement (PRO) is an advantage; ;. 6 months' experience in conducting IT training/briefing (ITT) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 7 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33947"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFT,,,DPS,,,,,,,,,,,,,,GOV,,GSS,,,,,,,,,,,,,,,,,,,,,,,ITS,ITT,,,,JAV,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,OPL,,,OUT,,,,,,,,,,PRO,,,,,,,,,,,,,SIM,,SQL,,,,,,,,,,,,ULS,,VBC,,,,,,,,,,,,,,,,,,,
33904,Contract Systems Analyst (Bid Ref 54344-1),1,1,Others,Contract,29 Apr 2025,12 May 2025 to 31 Jul 2025 (2 months),under InfoTech,Government T26 Contract,Ho Man Tin,N/A - N/A,"""(T26) Support to security team""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;Provide support to security team including ;- coordinate vendors to conduct IT security risk assessment ;- manage anti-virus and Security Information Event and Management (SIEM) system, tasks involve follow up the security alert, apply security patch management, create monitoring use case ;- conduct security review, tasks involve understand the system process and data flow, identify risk and corresponding security control to address the risk, verify the implementation of security control ;- reply IT security enquiries ;""",4.0,2.0,"""1. Solid experience in anti-virus and log review system support ;2. Experienced in IT security risk assessment ;3. Experienced in liaison and coordination with different parties is preferred ;4. Possess relevant IT security professional qualifications (e.g. Certified Information Systems Auditor (CISA), Certified Information Systems Security Professional (CISSP) and Certified Information Security Professional (CISP)) is preferred ;Technical Skills: ;. At least 2 years' experience in Endpoint Security Solutions (ESS); ;. At least 2 years' experience in Security Risk Assessment and Audit (SAA); ;. At least 2 years' experience in Security Incident Detection and Handling (SDH); ;. 1 year's experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in managing Government IT standards (ITG); ;. Good coordination skills is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33904"")",,,,,,,,,,,,,,,,,,,,,CISA,CISP,CISSP,,,,,,,,,,,,,,,,,,,,,,ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,ITG,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAA,,SDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
