33899,Contract Senior Systems Analyst (Bid Ref 54297-1),1,1,Others,Contract,29 Apr 2025,03 Jun 2025 to 02 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Sham Shui Po,N/A - N/A,"""(T26) This is a CSSA position responsible for providing client advisory support on shared services platform of Government Cloud Infrastructure Services (GCIS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The post provides technical support and client liaison to the end users from Government B/Ds in using the shared services of GCIS. The major job duties include:;(a) To provide support on GCIS Shared Services (including notification, messaging and PKI CRL checking), reference modules and applications;(b) To conduct testing on the new release or bug fixing of reference modules from the perspective of client support;(c) To provide client advisory support for the GCIS Shared Services to B/D users with applications hosting on GCIS PaaS platform;(d) To maintain the GCIS PaaS theme page in ITG Infostation for dissemination of the technical information to B/Ds;(e) To carry out other project related duties as designated by the supervisors ;""",6.0,2.0,"""(a) Candidate should have experience in web hosting, design and maintenance;(b) Candidate should have strong sense of analytical and problem solving skills;(c) Candidate should be a team-player with good communication and interpersonal skills;(d) Candidate should have experience in JavaScript and Java programming;(e) Candidate should have experience in GCIS PaaS (EGIS formerly);(f) Candidate should have experience in providing client support and advisory service ;Technical Skills: ;. At least 2 years' experience in EGIS (EGI); ;. At least 2 years' experience in JavaScript Programming (JAP); ;. At least 2 years' experience in JAVA Programming (JAV); ;. At least 2 years' experience in Web Hosting, Design and Maintenance (WED). ;Non-technical Skill: ;. At least 2 years' experience in customer service (CLS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33899"")",,,,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,,,,,EGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAP,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33898,Contract Senior Systems Analyst (Bid Ref 54296-1),1,1,Others,Contract,29 Apr 2025,03 Jun 2025 to 02 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Sham Shui Po,N/A - N/A,"""(T26) This is a CSSA position responsible for providing client advisory support on e-payment system of Government Cloud Infrastructure Services (GCIS) for both web based and mobile application.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The post provides technical support and client liaison to the end users from Government B/Ds using e-payment system of Government private cloud services. The major job duties include:;(a) To provide technical support of GCIS e-payment system on both web based and mobile applications;(b) To provide client advisory support for GCIS e-payment service to B/D users;(c) To assist in application support on ongoing enhancement of GCIS e-payment system;(d) To provide client communications and advisory support for the systems that use e-payment services, including Faster Payment System (FPS), credit card and digital wallet;(e) To assist in software testing management including acceptance testing and validation of project deliverables;(f) To carry out other project related duties as designated by the supervisors ;""",6.0,2.0,"""(a) Candidate should have experience in mobile application development;(b) Candidate should have experience in web service;(c) Candidate should have experience in Java programming;(d) Candidate should have experience in GCIS PaaS (EGIS formerly);(e) Candidate should have experience in client support and advisory service ;Technical Skills: ;. At least 2 years' experience in EGIS (EGI); ;. At least 2 years' experience in JAVA Programming (JAV); ;. At least 2 years' experience in Wireless and Mobile (WLM); ;. At least 2 years' experience in Web Services (WSV). ;Non-technical Skill: ;. At least 2 years' experience in customer service (CLS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33898"")",,,,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,,,,,EGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WLM,WSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33891,Contract Systems Analyst (Bid Ref 54340-1),1,1,Application Development,Contract,28 Apr 2025,12 May 2025 to 30 Nov 2025 (6 months),under InfoTech,Government T26 Contract,"Wan Chai, Hong Kong",N/A - N/A,"""(T26) Manage the ICT development projects of the Water Supplies Department""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the WSD; ;1. Perform project management of outsourced Information and Communications Technology (ICT) projects;2. Participate in the funding application, tendering and procurement in various projects;3. Work with business owners to establish a clear programme of activities;4. Assist in collecting and consolidating user requirements and turn them into structural system specifications;5. Prepare technical specifications for application, hardware equipment, software, and services;6. Assist in design, development and implementation of applications and systems;7. Design the system infrastructure and network security measures ;""",6.0,4.0,"""- solid experience in system analysis, design and implementation on system development project;- solid experience in contractor management;- solid experience in collecting and consolidating user requirements and turn them into structural system specifications;- solid experience in Government tender preparation and administration;- knowledge of network security, cloud-computing, mobile application and micro-service technologies and architecture ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in Data Management (DMT); ;. At least 4 years' experience in Information System Study (ISS); ;. At least 4 years' experience in IT Planning (ITP); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM). ;Non-technical Skills: ;. Good coordination skills is a must; ;. At least 6 months' experience in work with the Government (GOV); ;. At least 6 months' experience in managing Government IT standards (ITG); ;. At least 6 months' experience in IT service/outsourcing management (OUT); ;. At least 6 months' experience in vendor management (VMG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,14 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33891"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMT,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,ISS,ITG,ITP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33901,Contract Project Manager (Bid Ref 54342-1),1,1,Others,Contract,29 Apr 2025,01 Jun 2025 to 31 Mar 2026 (10 months),under InfoTech,Government T26 Contract,"Kwun Tong, Tsuen Wan, Central, Kowloon Bay",N/A - N/A,"""(T26) Certification Authority infrastructure upgrade projects""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the Hongkong Post; ;a) Serve as the project manager in the Upgrade Project of Hongkong Post Certification Authority (HKPCA) to replace/upgrade the existing infrastructure, Certification Authority (CA) software and the related application modules;;b) Lead market research to identify and recommend technical options/solutions; ;c) Formulate holistic plan and requirements for the system upgrade, deployment and transition arrangement;;d) Perform financial and resources estimation/planning to prepare corresponding funding and project papers etc.;e) Prepare requirement specifications for the procurement of hardware, software and services and perform the corresponding technical evaluations;;f) Oversee and manage outsourced contractors to upgrade/replace hardware, software and application;;g) Supervise and steer the application redevelopment;;h) Review and evaluate system change requests from the outsourced contractors;;i) Assist in implementing project requirements in compliance with HKPCA&;#8217;s standards, security requirements and published regulatory documents on e-Certs including but not limited to all the Certification Practice Statements for the recognized digital certificates issued by HKPCA, and Government IT security policy and guidelines published by the Digital Policy Office (DPO);;j) Liaise and coordinate with all related working parties including the DPO, Hongkong Post (HKP), HKPCA Operator and various outsourced contractors to ensure a smooth implementation, system acceptance, service transition and system rollout of the Upgrade Project;;k) Oversee and manage the handing-over the final solution/product to HKP and HKPCA Operator to continue their operation; and;l) Perform administration tasks and other duties as assigned by the supervisor. ;""",8.0,2.0,"""a) Solid knowledge and good technical skill on application development and support using Java 6 and 8, Struts 1 and 2, Oracle Database;;b) At least 3 years of hand-on experience in Oracle WebLogic application server;;c) Working experience in security solutions including Hardware Security Module (HSM), digital certificates and Certification Authority operations will be an advantage;;d) Working experience in implementing virtualization, large scale and complex IT systems for government will be an advantage;;e) Need to work in various office locations of HKP; and;f) Overtime work is required when necessary. ;Technical Skills: ;. At least 3 years' experience in Apache Web Server (AWS); ;. At least 3 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 3 years' experience in Oracle RDBMS (ODB); ;. At least 2 years' experience in Public Key Infrastructure (PKI); ;. 2 years' experience in Project Management Professional (PMP) (PMP) is an advantage; ;. 2 years' experience in Security Risk Assessment and Audit (SAA) is an advantage; ;. 2 years' experience in J2EE Development (JDE) is an advantage; ;. 2 years' experience in Linux System Administration (LIN) is an advantage; ;. 2 years' experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in work with the Government (GOV); ;. At least 2 years' experience in Government procurement/disposal procedures (GPD); ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 2 years' experience in managing Government projects (MGP) is an advantage; ;. 2 years' experience in the support of Certification Authority system (CAS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33901"")",,,,AWS,,,,,,,CAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,GPD,GSS,,,,HSM,,,,,,,,,,,,ITS,,JAF,,,,JDE,,,LIN,,,,MGP,,,,,,,,,,,,ODB,,,,,,,,,,,,,PKI,PMP,,,,,,,,,SAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33900,Contract Systems Analyst (Bid Ref 54338-1),1,1,Others,Contract,29 Apr 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,"Kai Tak, Kowloon",N/A - N/A,"""(T26) To provide implementation and system nursing services of Workflow Management Extension (WME), Digital Corporate Identity (eCorp ID) and Uncertificated Securities Market (USM) project, and provide on-going infrastructure support to IRD application systems""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the IRD; ;1. To support the implementation of the WME, including the system nursing and integration with existing Workflow Management System (WMS); ;2. To support the system setup for the eCorp ID and USM projects;;3. To support the system testing for the national security software product, including the verification of various technical options; ;4. To manage the system integration among various application systems;;5. To perform and lead subordinates to hands-on install, setup, configure, test and support various system software and applications;;6. To perform and lead subordinates to manage vendors on system installation, setup, support, performance tuning, capacity planning, testing and problem solving;;7. To perform and lead subordinates to provide on-going system administration, enhancement, maintenance, capacity planning, performance tuning, testing, technical support and problem solving for the application systems;;8. To perform and lead subordinates to provide on-going technical support to application teams on application version control, application deployment, problem solving and performance tuning;;9. To maintain the system specifications, documentation and inventory records; ;10. To assist supervisors in preparing the requirement specifications for the procurement of system equipment and services and managing the contractors; and;11. To perform any other duties assigned by supervisors. ;""",12.0,4.0,"""1. The candidate should have solid hands-on experience in Linux, Windows, JBoss EAP and cloud technologies including architecture design, installation and setup, administration, configuration, maintenance, testing and technical support;;2. It is preferable that the candidate has hands-on experience on at least one of the following products/technologies:;(i) DB2 Server;;(ii) MySQL;;(iii) SAN Storage System;;(iv) Tivoli Workload Scheduler; and;(v) Local Area Networking;;3. The candidate is required to provide on-call support service and occasionally required to perform system support tasks on-site in IRD office during non-office hours including public holidays and after mid-night;;4. The candidate is required to work independently; and;5. The candidate is required to lead subordinates and work with other project teams to complete the required tasks. ;Technical Skills: ;. At least 10 years' experience in Linux System Administration (LIN); ;. At least 10 years' experience in Networking (NET); ;. At least 10 years' experience in Unix/Linux Shell Scripting (ULS); ;. At least 10 years' experience in Windows Server 2008/2012 (W12); ;. At least 3 years' experience in MySQL (MSQ); ;. At least 3 years' experience in JBoss Application Server (JAS); ;. At least 3 years' experience in Tivoli Workload Scheduler (TWS); ;. 2 years' experience in DB2 Administration (DBA) is an advantage; ;. 2 years' experience in Storage Area Network (SAN) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in work with the Government (GOV); ;. At least 4 years' experience in managing Government projects (MGP); ;. 1 year's experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 12 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33900"")",,,,,,,,,,,,,,,,,,,,,,,,,DBA,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,JAS,,,,,LIN,,,,MGP,,,MSQ,,,,,,NET,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,,,,,,,TWS,ULS,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33221,Contract Systems Analyst (Bid Ref 53618-2),2,1,Others,Contract,28 Apr 2025,02 Jun 2025 to 31 Mar 2026 (9 months),under InfoTech,Government T26 Contract,Cyberport,N/A - N/A,"""(T26) Maintain, support and enhance the Container-as-a-Service (CaaS) Platform to support the delivery of digital government services""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;- Maintain, support and enhance the Container-as-a-Service (CaaS) Platform of Government Cloud Infrastructure Services (GCIS) which consists of container hosting and orchestration platform, Microservices Communications Facilitation Service (Istio based Service Mesh tool) and DevOps/DevSecOps Tools for delivering government applications ;- Participate in the technical design and implementation of enhancement of the CaaS Platform ;- Support for government bureaux and departments to use the CaaS Platform for developing the digital government services, including preparation of technical guidelines ;- Review and verify the deliverables from the contractor on the enhancements of the CaaS Platform ;""",4.0,1.0,"""- Extensive experience in Docker and/or Kubernetes and/or Red Hat OpenShift Container Platform (OCP) or its community version (OKD), or similar container hosting and orchestration platform ;- Experience in infrastructure administration and monitoring for container hosting and orchestration platform ;- Experience in administration of linux ;- Experience in virtualisation technology including compute, storage and network ;- Experience in DNS, LDAP, load balancer ;- Knowledge in DevOps, CI/CD, container, microservices, image registry, source control management ;- Strong analytic mind and problem solving techniques ;- Hard-working and self-motivated with positive attitudes ;- A good team-player with competent communication and interpersonal skills ;Technical Skills: ;. At least 3 years' experience in Infrastructure (INF); ;. At least 2 years' experience in IT Security (ITS); ;. At least 2 years' experience in Linux System Administration (LIN); ;. At least 2 years' experience in Networking (NET); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. 2 years' experience in System Backup Operation (BKO) is an advantage. ;Non-technical Skills: ;. 1 year's experience in work with the Government (GOV) is an advantage; ;. 6 months' experience in customer service (CLS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,14 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33221"")",,,,,,,,BKO,,,,,,,,,CLS,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,INF,,,,,,ITS,,,,,,,,,LIN,,,,,,,,,,,,,NET,,OCP,,OKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33730,Contract Systems Analyst (Bid Ref 54214-1),1,1,Others,Contract,15 Apr 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,Kai Tak,N/A - N/A,"""(T26) System design, implementation, support and maintenance of cloud virtualization platforms, Windows and Linux servers, SAN storages, backup/restore, and disaster recovery (DR) solutions, as well as support for cloud migration projects.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the IRD; ;(1) To support different components (including virtualization platform, SAN storages, backup/restore solution, DR solution, etc.) of a private cloud platform; ;(2) To support the DR drills and security risk assessment of the private cloud platform; ;(3) To provide on-going technical support to application teams on application deployment, WAF configuration, problem solving and performance tuning; ;(4) To provide support on cloud migration projects; ;(5) To assist the supervisor to prepare the technical requirement specifications of the procurement of system equipment and services; and ;(6) To perform any other tasks assigned by supervisors. ;""",6.0,2.0,"""(1) The candidate shall have work experience in implementing at least one private cloud project with at least 100 virtual machines (VMs). ;(2) The candidate shall have solid hands-on experience in the system support of following areas: ; (a) VMware Cloud virtualization platform; ; (b) Host servers, SAN storages and switches; and ; (c) Windows and Linux servers. ;(3) The candidate shall have work experience in implementing and supporting IT projects/systems using public cloud services, e.g. AWS, Microsoft Azure, Alibaba Cloud, Huawei Cloud Stack Online. ;(4) The candidate shall have knowledge in DPO's central infrastructure services, e.g. Government Cloud Infrastructure Services (GCIS). ;(5) Candidates with knowledge in Kubernetes and Docker are preferred. ;(6) Holders of VMWare Certified Professional (VCP) will be an advantage. ;Technical Skills: ;. At least 5 years' experience in Storage Area Network (SAN); ;. At least 5 years' experience in Server Virtualisation Technology (SVT); ;. At least 3 years' experience in Linux System Administration (LIN); ;. At least 2 years' experience in IT Security (ITS); ;. At least 2 years' experience in Data/File Backup Technology (DFT); ;. 1 year's experience in Disaster Recovery Planning (DRP) is an advantage; ;. 1 year's experience in Internet Firewall Technical Support (IFW) is an advantage. ;Non-technical Skill: ;. At least 1 year's experience in Government information system strategy study/review (GSR). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,01 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33730"")",,,,,,,,,,,,,,,,,,,,,,,,,,,DFT,,,,,DRP,,,,,,,,,,,,,,,,,,,,,,IFW,,,,,,,ITS,,,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,GCIS,,GSR,,,,,,,,,,,,,,,,VCP,,,,,,,,,
33743,Contract Systems Analyst (Bid Ref 54217-1),1,1,Application Development,Contract,15 Apr 2025,01 Jun 2025 to 31 May 2026 (12 months),under InfoTech,Government T26 Contract,"Revenue Tower, 5 Gloucester Road, Wan Chai, Hong Kong",N/A - N/A,"""(T26) Development of smart and fee charging system for EPD&;#8217;s public electric vehicle chargers""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the EPD; ;1. Develop an IT system for collating and disseminating Electric Vehicle (EV) charging information, a database and an application system / a dashboard for monitoring of real-time data and reporting; ;2. Develop an IT system for fee charging service for the EPD-owned EV chargers;;3. Prepare tender documents and specifications for system and programme design, development, system requirements, etc., as well as operation and maintenance procedures / manuals; ;4. Address interfacing issues on data collection from different servers / systems and sharing to other departments' applications;;5. Take part in the procurement and installation of IT hardware and software, and oversee the inventory;;6. Prepare and conduct system testing and user acceptance test; and;7. Oversee and manage all IT security including admin system, data backup and access control, etc. and to follow the requirements of DPO and ITMU. ;""",4.0,1.0,"""1. Degree or above in Computer Science or equivalent.;2. Proficient in web-based database system application development, implementation, maintenance using SQL or equivalent.;3. Proficient in web programming; experience in using JavaScript, PHP and HTML5.;4. Experience in development, implementation, operation, maintenance of systems in Government.;5. Development experience in Government payment kiosk or Government e-payment system.;6. Development experience in Government systems hosted in GCIS.;7. Development experience in Government mobile application running on iOS (iOS 15 or above) and Android (Android 12 or above).;8. Hands-on experience in EV charging systems operating with OCPP (version 1.6J or above). ;Technical Skills: ;. At least 2 years' experience in Data Administration (DAM); ;. At least 2 years' experience in Network & System Management (NSM); ;. At least 2 years' experience in System Implementation and Maintenance/Support (SIM); ;. 2 years' experience in Structured Query Language (SQL) is an advantage; ;. 2 years' experience in Data Management (DMT) is an advantage; ;. 2 years' experience in Information Security Management (ISM) is an advantage; ;. 2 years' experience in Linux System Administration (LIN) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in Government procurement/disposal procedures (GPD); ;. At least 2 years' experience in Government tendering procedures (GTP); ;. At least 2 years' experience in managing Government IT standards (ITG); ;. 2 years' experience in contract administration (CON) is an advantage; ;. 2 years' experience in managing corporate IT security framework (CSF) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,01 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33743"")",,,,,,,,,,,,,,,,,,,,CON,,,DAM,,,,,,,DMT,,,,,,,,,,,,,,GPD,,GTP,,,,,,,,,,,ISM,,ITG,,,,,,,,,,,LIN,,,,,,,,,,,,,,NSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33860,Contract Systems Analyst (Bid Ref 54247-1),1,1,Others,Contract,15 Apr 2025,16 May 2025 to 31 Dec 2025 (7 months),under InfoTech,Government T26 Contract,Shui On Centre (WanChai),N/A - N/A,"""(T26) To support bureaux/departments (B/Ds) in turning all government services online by 2024 and providing one-stop digital services by fully adopting the upgraded """"iAM Smart"""" platform by 2025 so as to realise a """"single portal for online government services"""" as set out in 2022 Policy Address (""""PA""""). The project involves implementation tasks including but not limited to (a) a single government information and service portal; (b) streamlined user interactions and personalised features via citizen-centric clusters of services.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;assist supervisor in organising any meetings/briefings with relevant parties including B/Ds' """"iAM Smart Adoption"""" coordinators;;- assist supervisor in gathering feedback and requirements and/or limitations on any systems analysis and design for the project;;- provide advice and guidance to all Government B/Ds and related organisations on system implementations and/or migrations according to the standards and specifications for """"iAM Smart"""" adoption including but not limited to User Experience Design (UX) / User Interface (UI) and """"iAM Smart"""" system interfaces;;- provide professional advice of technical support and business transformation services to Government B/Ds and related organisations on integration and adoption of the upgraded """"iAM Smart"""" platform;;- assist other """"iAM Smart"""" technical support teams to provide any supporting measures for the project including but not limited to the development of technical specifications, developer guides, or usage standards of the project;;- assist supervisor in monitoring and reporting the B/Ds' progress of """"iAM Smart"""" adoption w.r.t. 2022 PA;;- provide secretarial, administrative, and logistics support to meetings on the above functions; and;- Any other duties assigned by the supervisor. ;""",4.0,1.0,"""- Solid working experience in PKI, API design and implementation, digital certificate, and identity management-related technologies;- Strong working experience in problem-solving and troubleshooting experience on technical issues;- Strong knowledge and experience in the design, development, and management of IT Application systems;- Knowledge of user experience design and user acceptance test;- Strong sense of analytical and conflict-resolution skills;- Good command of English in both spoken and writing skills;- Good customer-oriented communication and interpersonal skills;;* It is an advantage for the candidate to possess the following:;- Proficient in MS Excel, Word and PowerPoint;- Knowledge of authentication/authorisation protocol standards such as SAML or OAuth;- Experience in vendor management and system implementation using OAuth;- Experience in handling multiple cross-government departmental projects;- Solid working experience in supporting systems for managing and monitoring government projects ;Technical Skills: ;. At least 2 years' experience in IT Application Development and Management (ADM); ;. At least 2 years' experience in Public Key Infrastructure (PKI); ;. At least 2 years' experience in System Implementation and Maintenance/Support (SIM); ;. 2 years' experience in VBA (VBA) is an advantage; ;. 2 years' experience in Web Services (WSV) is an advantage; ;. 2 years' experience in HTML version before HTML5 (HTM) is an advantage; ;. 2 years' experience in Internet/ Intranet (INT) is an advantage; ;. 1 year's experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. Good coordination skills is a must; ;. At least 2 years' experience in customer relations (ECR); ;. Excellent written English is a must; ;. 2 years' experience in quality assurance (QAS) is an advantage; ;. 2 years' experience in vendor management (VMG) is an advantage; ;. 2 years' experience in managing G2B and G2C projects (GBC) is an advantage; ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 1 year's experience in presentation (PEX) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,08 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33860"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECR,,,,,,GBC,,,,GSS,,,,,HTM,,,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEX,,,PKI,,,,,QAS,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,VMG,,,,,,WSV,,,,,,,,,,,INT,,,,,,,,,,,,,,VBA,,,,,,,,,,
